,rating,review_date
146,1,2021-09-24
147,5,2021-06-08
608,5,2022-01-03
651,4,2019-10-22
652,4,2020-01-15
653,5,2018-02-25
654,3,2017-08-11
655,3,2017-08-07
656,5,2016-11-15
657,2,2016-07-09
658,3,2016-02-23
659,3,2016-02-15
660,5,2015-03-04
661,3,2014-11-09
662,4,2014-09-01
2692,5,2022-02-03
2693,5,2022-01-27
2694,5,2022-01-27
4212,5,2020-02-22
4213,5,2019-08-20
4214,5,2019-08-19
4215,5,2019-07-21
4361,5,2021-07-27
4362,4,2021-03-11
4363,5,2021-01-03
4364,2,2020-02-06
4365,5,2020-01-26
4366,5,2018-11-17
4367,4,2018-06-11
4368,4,2018-05-24
4369,4,2018-01-26
4370,5,2018-01-12
4371,5,2017-12-16
4372,5,2017-11-12
4373,5,2017-09-06
4651,4,2022-04-21
4848,5,2020-04-16
5147,4,2018-05-17
5352,3,2020-12-20
5353,5,2017-11-25
5354,5,2017-11-12
5355,5,2017-11-06
5356,4,2017-09-19
5357,5,2017-09-04
5358,5,2017-05-17
5359,4,2017-05-10
5360,4,2016-09-20
5361,5,2017-10-18
5834,5,2022-01-21
5835,4,2021-05-14
5836,5,2020-10-04
5837,5,2019-01-26
6849,1,2019-10-22
6850,5,2018-08-18
6851,5,2017-09-28
9421,5,2017-09-06
9566,4,2021-07-28
9676,3,2017-11-15
9677,5,2016-11-05
10341,1,2022-09-17
10342,2,2022-07-25
10343,2,2022-07-20
11534,5,2022-08-10
11535,2,2022-07-17
11536,1,2022-07-12
11537,1,2022-06-12
11538,5,2021-10-03
11539,2,2021-07-27
11540,5,2021-07-20
11541,5,2020-08-30
11542,5,2020-08-18
11543,5,2020-08-10
11544,5,2020-08-09
11545,5,2019-09-04
11546,5,2019-09-01
11547,5,2019-08-16
11548,5,2019-08-12
11549,3,2019-08-09
11550,5,2019-07-28
11551,4,2019-07-22
11552,5,2019-07-08
11553,1,2019-07-07
11554,5,2020-08-03
11555,5,2020-07-02
11556,5,2019-07-05
11874,5,2021-11-05
11875,3,2021-10-12
11876,5,2020-09-16
11877,5,2020-03-11
11878,3,2020-03-07
11879,4,2020-03-02
11880,4,2020-02-10
11881,2,2019-10-07
11882,5,2019-09-19
11883,5,2019-04-26
11884,4,2019-04-10
11885,5,2019-03-23
11886,5,2019-02-18
11887,2,2019-02-15
11888,5,2019-02-12
11889,5,2019-02-09
11890,5,2019-01-26
11891,5,2018-11-07
11892,4,2018-11-06
11893,5,2018-11-04
11894,5,2018-10-28
11895,4,2018-09-25
11896,5,2018-09-03
11897,5,2018-08-30
11898,5,2018-08-27
11899,5,2018-07-17
11900,5,2018-06-19
11901,5,2018-06-19
11902,5,2018-06-18
11903,5,2018-03-22
11904,5,2018-02-02
11905,2,2018-01-29
11906,5,2017-12-13
11907,4,2017-11-30
11908,5,2017-11-23
11909,5,2017-11-14
11910,5,2017-10-21
11911,5,2017-09-15
11912,5,2017-08-23
11913,5,2017-07-13
11914,5,2017-07-12
11915,5,2017-05-24
11916,5,2017-05-22
11917,5,2017-05-12
11918,5,2017-04-26
11919,4,2017-04-16
11920,4,2017-04-08
11921,5,2017-03-31
11922,5,2017-03-18
11923,3,2017-03-14
11924,4,2017-03-12
11925,5,2017-03-03
11926,2,2017-03-01
11927,5,2017-01-29
11928,4,2017-01-18
11929,4,2017-01-17
11930,2,2017-01-13
11931,5,2016-12-17
11932,5,2016-12-03
11933,5,2016-12-03
11934,5,2016-11-28
11935,3,2016-11-20
11936,4,2016-11-16
11937,5,2016-11-08
11938,5,2016-11-02
11939,4,2016-10-22
11940,5,2016-10-20
11941,5,2016-10-20
11942,4,2016-10-19
11943,5,2016-10-19
11944,1,2016-10-18
11945,5,2016-10-18
11946,5,2016-10-02
11947,5,2016-08-27
11948,2,2016-07-25
11949,5,2016-07-18
11950,5,2016-07-17
11951,4,2016-07-15
11952,5,2016-07-01
11953,5,2016-06-25
11954,4,2016-06-11
11955,5,2016-06-03
11956,5,2016-06-01
11957,5,2016-06-01
11958,5,2016-05-28
11959,5,2016-05-09
11960,5,2016-05-08
11961,5,2016-05-07
11962,4,2016-05-04
11963,5,2016-05-01
11964,4,2016-04-29
11965,5,2016-04-17
11966,5,2016-03-18
11967,5,2016-03-17
11968,5,2016-03-11
11969,4,2016-03-10
11970,4,2016-03-06
11971,5,2016-02-28
11972,5,2016-02-24
11973,5,2016-02-20
11974,5,2016-02-12
11975,4,2016-02-10
11976,5,2016-01-18
11977,4,2016-01-10
11978,4,2015-12-21
11979,5,2015-11-22
11980,5,2015-11-11
11981,5,2015-11-06
11982,4,2015-09-19
11983,3,2015-09-19
11984,4,2015-06-07
11985,5,2015-06-05
11986,5,2015-05-22
11987,2,2015-05-20
11988,3,2015-05-17
11989,5,2015-03-13
11990,5,2015-03-09
11991,5,2015-02-24
11992,4,2015-02-05
11993,3,2015-01-27
11994,5,2014-12-30
11995,5,2014-12-29
11996,5,2014-12-27
11997,5,2014-12-22
11998,4,2014-12-18
11999,4,2014-12-18
12000,4,2014-12-18
12001,5,2019-10-31
12002,4,2016-03-18
12003,4,2015-07-09
13774,5,2022-04-01
13775,1,2021-12-01
13783,5,2022-09-05
13784,5,2022-09-05
13785,5,2022-08-05
13786,5,2022-08-04
13787,4,2022-07-15
13788,5,2022-07-14
13789,3,2022-04-23
13790,5,2022-04-14
13791,5,2021-11-17
13792,5,2021-11-15
13793,5,2021-11-12
13832,5,2022-08-02
13833,2,2022-05-17
13836,5,2022-09-12
13837,5,2022-07-29
15830,2,2022-04-07
15831,5,2021-12-19
15832,3,2021-12-13
15833,1,2020-10-20
