,rating,review_date
141,5,2016-03-28
142,4,2017-10-10
565,5,2021-08-09
566,5,2020-02-11
567,5,2018-11-17
568,3,2018-09-03
569,5,2018-08-29
570,5,2022-07-06
571,5,2022-05-07
572,5,2022-01-30
573,5,2022-01-30
574,5,2022-01-16
575,5,2022-01-03
576,5,2020-10-29
577,5,2020-10-25
578,4,2020-02-26
579,5,2019-11-16
580,5,2019-08-28
581,5,2019-04-27
676,4,2018-04-04
677,4,2016-06-30
678,3,2020-07-25
679,4,2019-09-01
680,4,2019-06-09
681,4,2019-05-04
682,4,2019-03-24
683,5,2019-01-15
684,3,2018-03-02
685,4,2017-10-14
686,3,2017-08-03
687,4,2017-05-13
688,4,2016-09-22
1238,4,2022-06-11
1239,5,2022-03-20
1240,4,2022-02-01
1241,3,2022-01-30
1242,1,2021-09-08
1243,1,2020-10-20
1244,5,2020-07-30
1245,5,2020-07-28
1246,5,2020-07-25
1247,5,2019-12-22
1248,4,2019-10-06
1249,5,2019-09-22
1250,5,2019-08-22
1251,4,2019-07-02
1252,5,2019-06-30
1253,4,2019-03-30
1254,4,2019-03-07
1255,4,2018-11-11
1256,3,2018-10-16
1257,3,2018-11-14
1258,5,2018-10-17
1515,5,2022-06-23
1516,5,2020-03-12
1517,2,2019-08-17
1518,2,2019-08-14
1519,4,2018-11-07
1520,5,2018-10-26
1521,5,2018-08-05
1522,4,2018-07-08
1523,4,2017-12-14
1524,5,2017-11-30
1525,4,2017-11-09
1526,5,2017-05-24
1527,5,2017-05-01
1528,5,2017-02-15
1529,4,2016-11-09
1530,3,2016-08-24
1531,3,2016-07-25
1532,5,2016-04-14
1533,1,2016-01-31
1534,5,2015-09-21
1535,3,2015-08-11
1536,4,2015-06-26
1537,4,2015-05-06
1538,4,2014-09-14
1539,5,2014-08-05
1540,5,2014-05-22
1541,5,2014-04-27
1542,2,2014-03-01
1543,3,2014-01-20
1544,3,2013-09-04
1545,3,2019-07-02
1546,5,2015-09-18
1547,1,2021-12-31
1548,3,2020-07-08
1549,4,2018-11-17
1550,3,2018-04-30
1551,5,2018-02-24
1552,4,2017-12-22
1553,4,2017-11-13
1554,4,2017-10-03
1555,4,2017-02-14
1556,2,2016-10-16
1557,2,2016-08-18
1558,4,2016-08-05
1559,5,2016-06-04
1560,4,2016-05-08
1561,4,2016-01-21
1562,5,2015-12-24
1563,4,2015-11-12
1564,5,2015-10-16
1565,3,2015-05-06
1566,4,2014-11-29
1567,4,2014-11-04
1568,4,2014-07-05
1569,5,2014-06-18
1570,4,2014-04-24
1571,4,2013-10-06
1572,2,2017-06-25
1573,4,2016-10-30
1761,1,2022-09-16
1762,1,2021-12-11
1763,1,2020-10-18
1764,5,2020-08-26
1765,1,2020-07-25
1766,4,2020-01-07
1767,1,2019-12-02
1768,1,2019-05-03
1769,5,2019-03-17
1770,3,2019-01-18
1771,1,2019-01-02
1772,2,2018-04-20
1773,4,2018-02-16
1774,1,2018-02-14
1775,4,2018-01-19
1776,3,2018-01-10
1777,4,2017-08-07
1778,4,2017-06-27
1779,4,2017-04-26
1780,5,2017-03-14
1781,5,2017-01-07
1782,2,2016-10-31
1783,3,2016-08-20
1784,1,2016-04-05
1785,4,2016-03-15
1786,3,2016-02-03
1787,5,2015-10-20
1788,4,2015-03-27
1789,4,2015-02-18
1790,5,2015-01-04
1791,4,2014-11-27
1792,4,2014-10-28
1793,4,2014-04-24
1794,4,2014-03-13
1795,4,2015-08-03
1961,4,2020-05-17
1962,5,2020-01-15
1963,5,2019-12-20
1964,5,2019-12-08
1965,3,2019-12-04
1966,4,2019-11-25
1967,5,2019-09-04
1968,4,2019-08-20
1969,4,2019-07-07
1970,5,2019-05-03
1971,5,2019-04-27
1972,5,2019-04-07
1973,5,2019-02-08
1974,4,2018-11-21
1975,5,2018-11-21
1976,5,2018-11-11
1977,5,2018-11-04
1978,5,2018-09-05
1979,5,2018-08-01
1980,4,2018-07-08
1981,4,2018-06-06
1982,4,2018-05-11
1983,5,2018-05-09
1984,5,2018-05-04
1985,5,2018-03-25
1986,5,2018-03-11
1987,5,2018-03-01
1988,5,2018-02-11
1989,5,2018-02-03
1990,4,2018-01-07
1991,4,2017-12-14
1992,4,2017-11-13
1993,4,2017-10-07
1994,4,2017-06-05
1995,3,2017-05-30
1996,5,2017-05-24
1997,5,2017-05-10
1998,5,2017-04-06
1999,3,2017-03-07
2000,5,2017-02-18
2001,4,2017-02-15
2002,4,2017-02-09
2003,5,2017-02-06
2004,5,2017-02-01
2005,4,2017-01-05
2006,5,2017-01-01
2007,5,2016-12-22
2008,5,2016-12-13
2009,5,2016-11-09
2010,5,2016-10-31
2011,5,2016-10-15
2012,5,2016-09-18
2013,5,2016-08-21
2014,4,2016-07-29
2015,5,2016-07-23
2016,4,2016-06-05
2017,5,2016-05-04
2018,5,2016-04-17
2019,3,2016-04-09
2020,3,2016-02-12
2021,5,2016-01-31
2022,5,2016-01-21
2023,3,2016-01-17
2024,5,2016-01-11
2025,4,2015-12-30
2026,5,2015-11-18
2027,5,2015-10-14
2028,3,2015-10-07
2029,5,2015-09-22
2030,3,2015-09-09
2031,5,2015-08-23
2032,4,2015-06-17
2033,3,2015-06-10
2034,5,2015-06-09
2035,4,2015-04-02
2036,2,2015-03-31
2037,5,2015-02-18
2038,5,2017-07-12
2039,5,2017-05-04
2040,3,2017-04-19
2041,4,2017-02-09
2042,4,2017-01-18
2043,5,2016-12-02
2044,4,2016-05-12
2045,5,2016-02-10
2046,5,2015-10-25
2047,4,2015-08-03
2058,5,2021-04-28
2059,4,2019-03-24
2060,5,2016-06-04
2061,4,2016-05-30
2062,5,2016-04-23
2063,5,2016-02-04
2105,2,2019-09-06
2113,5,2019-09-15
2114,5,2019-06-28
2115,5,2019-02-08
2141,2,2022-09-17
2142,2,2022-07-28
2143,4,2021-12-31
2144,3,2021-08-18
2145,4,2021-08-10
2146,5,2020-04-15
2147,3,2020-03-21
2148,3,2020-02-18
2149,3,2019-09-25
2150,4,2019-09-18
2151,5,2019-08-22
2152,4,2019-08-11
2153,1,2019-06-29
2154,4,2019-03-19
2155,4,2019-03-02
2156,4,2019-02-15
2157,1,2019-02-06
2158,2,2019-01-25
2159,2,2019-01-06
2160,5,2018-09-01
2782,2,2020-10-17
2783,1,2020-09-14
2784,1,2020-07-03
2785,3,2020-02-20
2786,1,2019-09-27
2787,1,2019-08-25
2788,3,2019-07-02
2789,1,2019-06-10
2790,2,2019-05-25
2791,2,2019-01-19
2792,4,2018-12-12
2793,1,2018-11-23
2794,1,2018-10-25
2795,4,2018-10-13
2796,4,2018-08-24
2797,1,2018-05-22
2798,4,2018-05-16
2799,2,2018-05-10
2800,4,2018-03-19
2801,4,2018-03-03
2802,4,2018-02-09
2803,2,2018-02-02
2804,2,2018-01-13
2805,3,2017-12-17
2806,5,2017-12-17
2807,1,2017-12-12
2808,2,2017-10-01
2809,1,2017-09-24
2810,1,2017-09-20
2811,4,2017-08-23
2812,3,2017-08-09
2813,4,2017-07-30
2814,4,2017-05-17
2815,3,2017-04-30
2816,3,2017-04-22
2817,5,2017-04-19
2818,5,2017-04-04
2819,3,2017-02-23
2820,2,2017-02-14
2821,4,2017-02-09
2822,5,2016-12-07
2823,4,2016-12-04
2824,4,2016-11-11
2825,1,2016-10-31
2826,4,2016-10-25
2827,4,2016-10-18
2828,3,2016-10-18
2829,2,2016-10-17
2830,5,2016-10-12
2831,2,2016-08-23
2832,3,2016-08-15
2833,5,2016-08-07
2834,5,2016-08-05
2835,4,2016-08-04
