,rating,review_date
602,1,2022-02-13
603,5,2022-01-03
604,5,2021-10-25
605,3,2021-08-28
606,5,2021-06-21
607,5,2021-03-23
3515,4,2017-08-22
3516,5,2016-08-01
3517,3,2016-07-09
3518,5,2015-06-08
3519,3,2016-05-11
3520,5,2015-01-31
3894,5,2020-02-29
3895,5,2019-01-22
4389,2,2022-10-06
4390,5,2022-06-13
4391,5,2022-01-29
4392,5,2022-01-11
4393,5,2021-10-08
4750,5,2018-07-15
4751,5,2015-07-21
4752,4,2013-07-08
4753,4,2013-01-17
4754,5,2019-09-05
4755,5,2017-08-20
4756,4,2017-08-12
4757,5,2017-07-14
4758,5,2017-04-14
4759,5,2017-01-08
4760,5,2016-04-11
4761,5,2015-06-28
4762,4,2015-01-15
4848,5,2020-04-16
5147,4,2018-05-17
5873,5,2021-06-07
5976,1,2021-05-23
5977,3,2020-08-07
5978,5,2020-02-27
5979,5,2020-03-14
5980,4,2020-02-10
6715,1,2022-05-23
6716,4,2021-09-09
6717,1,2021-08-05
6718,3,2021-06-18
6719,2,2021-06-07
6720,1,2020-08-29
6721,2,2019-11-26
6722,2,2019-10-18
6723,5,2019-09-04
6724,4,2019-08-07
6725,2,2019-08-01
6726,3,2019-07-30
6727,1,2019-07-09
6728,4,2019-05-11
6729,5,2018-08-18
6730,2,2018-08-10
6731,1,2018-08-05
6732,5,2018-08-04
6733,5,2018-07-22
6734,1,2018-07-13
6735,5,2018-07-04
6736,1,2018-07-01
6737,5,2018-04-14
6738,5,2018-04-13
6739,1,2017-08-06
6740,5,2017-07-11
6741,5,2017-06-25
6742,5,2017-06-25
6743,1,2017-06-24
6744,1,2017-04-22
6745,5,2017-04-20
6746,5,2016-09-09
6747,5,2016-09-07
6748,2,2016-09-03
6749,5,2016-08-16
6750,5,2016-07-28
6751,2,2016-07-05
6752,5,2016-06-26
6753,4,2019-01-26
6754,1,2018-03-30
6755,5,2017-08-06
6756,5,2016-11-20
6757,5,2016-10-10
6758,5,2016-08-11
6759,4,2016-07-26
6760,4,2016-06-06
6761,5,2016-02-27
6762,5,2016-01-23
6763,5,2015-10-17
6946,2,2022-09-06
6947,5,2021-11-22
6948,3,2021-08-10
6949,5,2021-07-08
6950,5,2020-09-15
6951,4,2020-07-30
6952,5,2019-10-17
6953,4,2019-10-11
6954,5,2019-04-14
6955,3,2018-08-31
6956,4,2018-08-16
6957,3,2017-10-17
6958,5,2017-10-13
6959,5,2017-10-07
6960,4,2017-09-14
6961,1,2017-05-27
6962,4,2017-03-26
6963,5,2016-09-20
6964,5,2016-08-31
6965,3,2016-05-09
6966,5,2016-03-26
6967,5,2016-03-06
6968,5,2016-02-19
6969,3,2015-11-23
6970,4,2015-09-05
6971,5,2014-04-24
6972,4,2013-04-05
6973,4,2019-07-27
6974,1,2019-07-19
6975,5,2018-11-23
6976,4,2016-08-18
6977,5,2016-07-27
6978,5,2016-06-19
6979,4,2015-10-13
6980,4,2015-06-30
6981,5,2014-05-27
6982,5,2013-04-28
6983,4,2013-03-14
6984,5,2012-10-06
6985,4,2012-09-15
6986,4,2012-08-23
6987,4,2012-08-08
7090,4,2014-05-07
7091,5,2015-07-25
7092,5,2013-08-04
7093,5,2013-08-02
7228,5,2022-08-26
7229,5,2022-07-12
7230,5,2022-06-29
7231,5,2022-05-12
7232,5,2021-12-31
7233,5,2021-10-29
7234,5,2021-10-23
7235,5,2021-10-08
7236,5,2021-06-29
7237,5,2021-06-12
7238,5,2020-11-11
7239,5,2020-10-22
7240,5,2020-10-19
7241,5,2020-09-18
7242,5,2020-09-03
7243,5,2020-08-13
7244,5,2020-07-16
7245,5,2020-07-16
7246,5,2019-10-15
7247,5,2019-09-09
7248,5,2019-08-17
7249,5,2019-08-05
7250,5,2019-07-28
7251,5,2019-06-23
7252,5,2019-05-14
7253,5,2018-11-30
7254,5,2018-10-03
7255,5,2018-09-19
7256,5,2018-08-08
7257,4,2018-07-05
7258,5,2018-05-03
7259,5,2018-02-20
7260,5,2017-11-12
7261,5,2017-10-15
7262,5,2014-08-13
7263,4,2013-08-17
7264,5,2019-07-28
7265,5,2018-06-26
7266,5,2017-07-26
7358,1,2019-10-28
7359,2,2019-06-11
7360,3,2018-09-04
7361,3,2017-10-19
7362,3,2016-08-11
7363,1,2015-05-31
7364,4,2014-09-02
7365,4,2014-06-01
7366,1,2013-08-16
7367,5,2012-08-24
7368,4,2019-04-28
7369,1,2018-11-24
7370,3,2018-06-28
7371,3,2017-07-14
7372,4,2016-09-08
7373,4,2016-08-02
7374,4,2016-06-05
7375,4,2014-10-26
7376,2,2014-10-10
7377,4,2014-08-03
7378,5,2012-10-13
9421,5,2017-09-06
9676,3,2017-11-15
9677,5,2016-11-05
11534,5,2022-08-10
11535,2,2022-07-17
11536,1,2022-07-12
11537,1,2022-06-12
11538,5,2021-10-03
11539,2,2021-07-27
11540,5,2021-07-20
11541,5,2020-08-30
11542,5,2020-08-18
11543,5,2020-08-10
11544,5,2020-08-09
11545,5,2019-09-04
11546,5,2019-09-01
11547,5,2019-08-16
11548,5,2019-08-12
11549,3,2019-08-09
11550,5,2019-07-28
11551,4,2019-07-22
11552,5,2019-07-08
11553,1,2019-07-07
11554,5,2020-08-03
11555,5,2020-07-02
11556,5,2019-07-05
12667,5,2022-07-14
13369,5,2021-08-29
13370,4,2020-07-24
13783,5,2022-09-05
13784,5,2022-09-05
13785,5,2022-08-05
13786,5,2022-08-04
13787,4,2022-07-15
13788,5,2022-07-14
13789,3,2022-04-23
13790,5,2022-04-14
13791,5,2021-11-17
13792,5,2021-11-15
13793,5,2021-11-12
16976,5,2021-12-17
16977,5,2019-05-07
16978,4,2019-05-06
16979,4,2019-04-07
16980,2,2019-01-27
16981,4,2018-09-05
16982,3,2018-05-13
16983,5,2017-10-18
16984,4,2017-09-14
16985,4,2017-09-06
16986,4,2017-07-07
16987,3,2017-03-11
16988,5,2016-11-07
16989,4,2016-10-10
16990,4,2016-10-07
16991,3,2016-08-11
16992,5,2016-04-08
16993,4,2015-01-13
16994,4,2015-01-02
16995,3,2020-02-05
16996,3,2020-02-03
16997,4,2019-11-17
16998,5,2019-03-04
16999,5,2019-01-10
17000,4,2018-11-25
17001,5,2018-08-21
17002,4,2018-06-25
17003,5,2018-05-14
17004,4,2017-05-26
17005,1,2017-04-10
17006,5,2017-03-04
17007,4,2017-01-26
17008,4,2016-10-16
17009,4,2016-09-13
17010,3,2016-06-29
17011,4,2016-06-17
17012,5,2016-03-30
17013,4,2016-03-17
17014,4,2016-03-15
17015,5,2016-02-08
17016,4,2015-11-16
17017,5,2015-08-18
17018,4,2015-03-20
17019,3,2013-07-21
25799,5,2022-10-01
25800,3,2022-08-01
25801,1,2022-06-20
25802,2,2022-02-22
25803,2,2020-08-08
25804,5,2020-08-06
25805,5,2019-12-03
25806,3,2019-09-29
25807,2,2019-08-23
25808,5,2019-08-12
25809,4,2019-05-12
25810,3,2019-05-06
25811,5,2018-11-07
25812,3,2018-11-04
25813,5,2018-10-08
25814,1,2018-09-13
25815,4,2018-06-03
25816,5,2018-05-04
25817,5,2018-04-10
25818,4,2018-04-02
25819,5,2018-03-30
25820,5,2018-02-28
25821,3,2018-01-31
25822,4,2018-01-24
25823,3,2018-01-22
25824,2,2018-01-06
25825,5,2017-12-22
25826,5,2017-10-23
25827,3,2017-10-20
25828,5,2017-10-12
25829,4,2017-09-18
25830,1,2017-08-08
25831,2,2017-08-06
25832,5,2017-07-07
25833,4,2017-05-25
25834,4,2017-05-19
