,rating,review_date
10,4,2015-11-16
11,5,2015-05-31
12,5,2019-05-30
13,4,2017-10-16
45,4,2022-08-08
46,5,2021-07-06
47,1,2021-05-16
48,5,2019-07-24
49,5,2019-07-30
50,3,2020-05-24
51,4,2019-07-24
52,5,2018-06-26
53,1,2015-08-07
54,5,2020-07-23
55,5,2020-01-29
56,4,2018-08-28
57,5,2018-08-14
58,4,2018-07-15
59,5,2017-10-11
60,1,2017-10-04
61,5,2017-07-28
62,5,2017-03-14
82,4,2020-08-09
83,5,2020-10-27
84,5,2017-09-06
85,4,2017-03-14
86,5,2016-05-07
87,5,2014-03-27
88,5,2012-11-20
91,4,2019-06-11
92,2,2022-09-22
93,5,2020-10-11
94,5,2019-06-09
95,5,2018-06-08
96,5,2018-04-01
97,3,2017-09-16
98,5,2017-09-08
99,5,2016-09-12
122,5,2016-02-11
123,5,2019-06-06
124,5,2018-04-17
135,5,2016-06-03
136,3,2014-08-07
137,4,2017-08-18
138,5,2019-03-24
139,5,2016-03-27
140,4,2015-06-07
143,4,2018-08-08
144,5,2015-02-19
145,4,2013-06-18
155,4,2017-08-18
156,4,2012-10-23
157,4,2019-04-28
158,4,2013-10-31
171,5,2018-04-23
622,3,2019-09-13
623,4,2014-12-23
624,4,2013-02-25
625,4,2017-04-11
626,4,2016-12-27
627,5,2014-12-09
628,4,2012-10-25
631,5,2016-06-22
632,4,2014-06-19
633,5,2022-07-12
634,4,2020-08-16
635,4,2020-07-11
636,5,2019-10-24
637,5,2019-10-24
638,4,2019-10-09
639,3,2019-08-23
640,4,2019-08-22
641,4,2022-09-22
642,5,2021-05-09
643,5,2020-10-14
644,5,2020-08-16
645,5,2020-05-16
646,4,2019-07-09
647,4,2018-07-07
648,4,2016-05-14
649,4,2015-06-12
650,5,2015-05-30
671,5,2020-02-22
672,1,2020-08-15
674,4,2015-04-09
675,1,2014-06-29
702,4,2016-06-02
703,5,2014-07-05
724,5,2021-11-22
725,5,2020-10-08
726,5,2020-10-04
727,5,2020-09-28
728,5,2020-07-14
729,5,2020-01-10
730,4,2019-11-05
731,5,2019-05-31
732,4,2018-12-10
733,4,2017-08-09
734,5,2017-04-09
735,5,2017-04-09
736,4,2017-03-12
737,4,2017-03-03
738,5,2016-10-23
739,4,2016-09-03
740,5,2016-07-31
777,5,2021-10-01
1106,4,2022-08-31
1107,5,2021-07-03
1108,3,2020-12-09
1109,5,2020-09-08
1110,5,2019-10-24
1111,2,2019-09-02
1112,2,2019-05-06
1113,4,2019-01-08
1114,5,2018-08-11
1115,3,2018-05-27
1116,5,2018-04-05
1117,5,2017-12-21
1118,5,2017-10-17
1119,4,2017-09-04
1120,4,2017-05-27
1121,4,2017-04-17
1122,4,2016-12-29
1123,4,2016-12-02
1124,4,2016-09-20
1125,5,2016-09-13
1126,5,2016-08-23
1127,4,2016-04-07
1128,4,2016-04-06
1129,4,2016-02-07
1130,4,2015-11-11
1131,4,2015-10-27
1132,5,2015-10-20
1133,3,2015-10-17
1134,4,2015-07-30
1135,3,2015-07-28
1136,4,2015-06-29
1137,4,2015-06-12
1138,3,2015-06-10
1139,4,2015-05-03
1140,2,2015-01-21
1141,2,2014-07-14
1142,4,2013-12-24
1143,3,2013-05-18
1144,3,2013-04-13
1145,3,2013-03-19
1146,5,2013-02-20
1147,4,2008-09-12
1148,4,2016-12-06
1149,4,2016-08-17
1150,5,2016-08-14
1151,2,2016-06-09
1152,4,2016-05-01
1153,4,2016-02-18
1154,3,2015-04-27
1155,5,2015-02-15
1156,4,2015-01-11
1157,5,2014-05-26
1158,4,2014-03-22
1159,4,2013-10-17
1160,4,2013-09-03
1161,4,2013-01-10
1162,4,2012-10-14
1163,5,2012-08-25
2068,2,2019-08-03
2069,2,2019-07-26
2070,1,2019-07-07
2071,2,2018-04-29
2072,5,2017-11-26
2073,3,2012-04-01
2074,4,2021-09-16
2075,3,2021-07-15
2076,4,2019-04-01
2077,5,2019-03-02
2078,5,2018-10-23
2079,4,2018-09-03
2109,5,2018-01-02
3461,5,2018-03-21
3462,5,2018-02-24
3463,1,2020-01-27
3464,1,2020-01-25
3465,1,2020-01-24
3466,1,2020-01-16
3467,5,2020-01-12
3468,1,2019-12-07
3469,4,2019-12-06
3470,4,2019-11-23
3471,4,2019-06-05
3472,4,2018-11-07
3473,5,2022-05-03
3474,3,2021-11-06
3475,4,2019-02-13
3476,5,2019-02-04
3477,4,2019-01-20
3478,4,2019-01-09
3479,5,2019-01-02
3480,5,2019-01-01
3481,1,2018-12-26
3482,5,2018-08-20
3483,5,2017-10-29
3484,4,2017-10-19
3485,1,2017-10-18
3486,5,2017-09-07
