,rating,review_date
45,4,2022-08-08
46,5,2021-07-06
47,1,2021-05-16
48,5,2019-07-24
49,5,2019-07-30
122,5,2016-02-11
123,5,2019-06-06
124,5,2018-04-17
184,5,2022-09-20
185,5,2022-03-24
186,5,2021-07-10
187,5,2021-05-29
188,5,2020-05-31
189,5,2020-05-26
190,4,2020-02-22
191,5,2020-02-19
192,5,2020-02-08
193,5,2020-01-19
194,5,2020-01-10
195,5,2019-10-01
196,5,2019-09-14
197,5,2019-07-30
198,5,2019-06-27
199,4,2019-06-08
200,5,2019-03-24
201,5,2018-12-03
202,5,2018-11-28
203,5,2018-11-17
204,5,2018-11-09
205,4,2018-08-15
206,5,2018-07-15
207,2,2018-06-08
208,5,2018-06-07
209,5,2018-05-21
210,4,2018-03-07
211,1,2018-01-25
212,5,2017-12-04
213,5,2017-11-17
214,5,2017-10-29
215,4,2017-10-19
216,4,2017-10-12
217,4,2017-09-06
218,4,2017-08-11
219,4,2017-07-09
220,5,2017-07-09
221,4,2017-05-29
222,4,2017-05-08
223,5,2017-04-13
224,5,2017-04-10
225,5,2017-04-08
226,4,2017-03-21
227,5,2017-02-15
228,5,2017-01-29
229,5,2016-11-01
230,5,2016-10-15
231,5,2016-08-28
232,5,2016-07-13
233,3,2016-04-26
234,4,2016-02-09
235,5,2016-01-20
236,5,2015-12-20
237,4,2015-12-19
238,4,2015-11-29
239,5,2015-11-09
240,5,2015-11-03
241,4,2015-10-07
242,3,2015-09-15
243,4,2015-09-13
244,5,2015-09-07
245,5,2015-06-30
246,4,2015-04-27
247,5,2015-03-22
248,5,2014-12-26
249,3,2014-11-15
250,5,2014-11-02
251,5,2014-10-25
252,5,2014-09-14
253,4,2014-05-22
254,4,2014-02-10
255,5,2014-01-28
256,5,2013-10-17
257,5,2019-06-07
259,3,2022-09-05
260,4,2022-07-31
261,2,2022-06-20
262,3,2022-02-13
263,4,2022-02-12
264,2,2021-12-16
265,5,2021-11-07
266,5,2021-08-16
267,5,2021-07-25
268,4,2021-07-19
269,4,2020-10-12
270,5,2020-08-22
271,4,2020-08-02
272,5,2020-07-31
273,4,2020-06-29
274,5,2020-03-07
275,5,2020-02-08
276,5,2020-01-26
277,5,2020-01-21
278,5,2020-01-12
