,rating,review_date
176,5,2017-08-08
177,4,2015-06-07
178,4,2015-02-18
2113,5,2019-09-15
2114,5,2019-06-28
2115,5,2019-02-08
3587,4,2013-04-07
3588,4,2016-06-17
3589,5,2014-08-08
5211,2,2018-01-19
5212,2,2017-10-17
5213,5,2016-08-31
5214,5,2016-08-21
5215,4,2015-10-25
5216,2,2015-04-13
5225,4,2018-03-22
5226,5,2017-09-14
5227,4,2017-08-29
5228,5,2017-04-29
5917,5,2022-08-18
6121,4,2019-07-12
6122,4,2018-08-26
6123,4,2016-03-16
6124,4,2015-08-21
6125,5,2015-08-09
6126,4,2015-05-07
6127,5,2018-05-21
6128,5,2016-04-10
6129,4,2014-12-26
6715,1,2022-05-23
6716,4,2021-09-09
6717,1,2021-08-05
6718,3,2021-06-18
6719,2,2021-06-07
6720,1,2020-08-29
6721,2,2019-11-26
6722,2,2019-10-18
6723,5,2019-09-04
6724,4,2019-08-07
6725,2,2019-08-01
6726,3,2019-07-30
6727,1,2019-07-09
6728,4,2019-05-11
6729,5,2018-08-18
6730,2,2018-08-10
6731,1,2018-08-05
6732,5,2018-08-04
6733,5,2018-07-22
6734,1,2018-07-13
6735,5,2018-07-04
6736,1,2018-07-01
6737,5,2018-04-14
6738,5,2018-04-13
6739,1,2017-08-06
6740,5,2017-07-11
6741,5,2017-06-25
6742,5,2017-06-25
6743,1,2017-06-24
6744,1,2017-04-22
6745,5,2017-04-20
6746,5,2016-09-09
6747,5,2016-09-07
6748,2,2016-09-03
6749,5,2016-08-16
6750,5,2016-07-28
6751,2,2016-07-05
6752,5,2016-06-26
6916,5,2021-10-21
6917,5,2021-08-19
6918,5,2021-08-19
6931,4,2018-08-31
6932,3,2022-02-16
6933,1,2021-12-29
6934,5,2020-03-22
6935,5,2019-08-16
6936,5,2019-02-26
6937,5,2016-07-23
6938,5,2015-08-03
6939,5,2019-11-10
6940,5,2018-02-18
6941,5,2017-04-15
6942,5,2016-09-06
6943,5,2015-08-23
6944,5,2015-05-15
7005,5,2022-07-14
7006,4,2022-05-20
7100,5,2021-08-07
7101,5,2020-10-09
7102,1,2016-05-10
7103,5,2015-11-07
7104,4,2015-07-31
7122,5,2020-10-23
7123,4,2019-07-07
7124,5,2020-08-03
7125,2,2019-07-27
7126,5,2019-03-31
7220,5,2018-10-06
7221,5,2018-03-20
7222,5,2017-12-17
7303,2,2020-08-20
7304,5,2019-09-18
7305,5,2019-07-30
7306,5,2018-09-03
7307,5,2018-08-16
7308,5,2018-02-22
7309,5,2018-01-30
7310,5,2017-07-28
7311,5,2020-09-12
7312,5,2020-07-13
7313,5,2019-02-24
7314,4,2018-08-27
7315,5,2018-04-01
7316,5,2018-01-18
7317,4,2017-06-19
7324,2,2020-08-25
7496,5,2014-10-14
7497,4,2013-11-16
7498,3,2012-12-06
8392,1,2020-09-06
8393,5,2020-08-22
8394,5,2020-08-08
8395,3,2020-02-03
8396,5,2020-01-27
8397,5,2020-01-04
8398,3,2020-01-04
8399,4,2019-12-02
8400,4,2019-10-05
8401,5,2019-08-06
8402,4,2019-05-22
8403,4,2019-05-05
8404,4,2019-04-28
8405,2,2019-04-19
8406,5,2019-03-24
8407,5,2019-02-24
8408,5,2019-01-27
8409,3,2019-01-04
8410,4,2018-12-11
8411,5,2018-12-10
8412,4,2018-11-04
8413,3,2018-10-28
8414,5,2018-10-03
8415,3,2018-09-10
8416,4,2018-09-04
8417,5,2018-08-29
8418,5,2018-08-11
8419,5,2018-07-25
8420,2,2018-07-25
8421,5,2018-05-10
8422,3,2018-04-15
8423,2,2018-04-10
8424,3,2018-03-31
8425,3,2018-03-31
8426,2,2018-03-20
8427,3,2018-03-06
8428,5,2018-02-21
8429,3,2018-02-14
8430,3,2018-01-26
8431,2,2018-01-23
8432,4,2018-01-21
8433,4,2018-01-14
8434,2,2017-12-30
8435,4,2017-12-22
8436,2,2017-12-20
8437,5,2017-12-18
8438,4,2017-11-08
8439,3,2017-10-25
8440,4,2017-10-08
8441,5,2017-10-05
8442,4,2017-09-18
8443,3,2017-09-09
8444,5,2017-08-20
8445,4,2017-08-02
8446,5,2017-07-10
8447,2,2017-06-11
8448,2,2017-06-03
8449,3,2017-05-29
8450,5,2017-04-27
8451,4,2017-04-20
8452,4,2017-04-14
8453,3,2017-04-12
8454,4,2017-04-02
8455,4,2017-03-09
8456,5,2017-02-19
8457,5,2017-02-17
8458,1,2017-02-10
8459,4,2017-02-02
8460,4,2017-01-17
8461,2,2017-01-16
8462,4,2017-01-15
8463,5,2017-01-13
