,rating,review_date
20,4,2016-09-13
92,2,2022-09-22
93,5,2020-10-11
94,5,2019-06-09
95,5,2018-06-08
96,5,2018-04-01
97,3,2017-09-16
98,5,2017-09-08
99,5,2016-09-12
171,5,2018-04-23
176,5,2017-08-08
177,4,2015-06-07
178,4,2015-02-18
619,5,2018-04-08
620,5,2014-07-27
621,3,2013-08-24
663,5,2019-03-19
664,4,2014-05-25
740,5,2016-07-31
2074,4,2021-09-16
2075,3,2021-07-15
2076,4,2019-04-01
2077,5,2019-03-02
2078,5,2018-10-23
2079,4,2018-09-03
2106,5,2022-05-12
2107,5,2020-05-31
2108,5,2017-10-02
4036,4,2017-08-02
4071,5,2019-10-13
4072,4,2018-12-25
4073,4,2016-08-10
4074,4,2012-12-29
4658,1,2018-03-20
4659,4,2016-10-21
4660,3,2016-07-31
4661,3,2016-07-12
4696,4,2016-11-07
4697,5,2014-08-22
4698,5,2020-08-30
4699,5,2018-07-19
4700,3,2018-07-14
4701,5,2017-12-11
4702,4,2017-08-20
4703,5,2017-04-11
4704,5,2017-03-13
4750,5,2018-07-15
4751,5,2015-07-21
4752,4,2013-07-08
4753,4,2013-01-17
4754,5,2019-09-05
4755,5,2017-08-20
4756,4,2017-08-12
4757,5,2017-07-14
4758,5,2017-04-14
4759,5,2017-01-08
4760,5,2016-04-11
4761,5,2015-06-28
4762,4,2015-01-15
4779,4,2016-10-23
4780,5,2022-08-21
4781,4,2019-03-29
4782,5,2019-02-23
4783,5,2019-02-03
4784,5,2019-01-25
4785,4,2018-11-06
4786,5,2018-10-28
4787,5,2017-08-10
4788,5,2017-07-18
4789,4,2016-06-24
4790,4,2016-03-30
4826,4,2019-11-14
4827,5,2019-08-19
4828,5,2018-07-12
4829,4,2017-12-18
4830,5,2017-08-06
4831,5,2017-07-21
4832,2,2016-04-27
4833,4,2015-08-20
4834,1,2014-02-16
4881,5,2019-04-21
4882,5,2018-04-03
4883,4,2020-02-02
4884,5,2019-10-05
4885,5,2019-07-09
4897,5,2018-10-05
5043,5,2021-04-11
5044,3,2019-12-26
5045,5,2019-01-27
5046,5,2016-01-21
5047,5,2015-10-04
5048,5,2019-02-10
5049,5,2018-10-18
5050,4,2018-02-17
5051,5,2017-10-02
5052,3,2015-10-16
5147,4,2018-05-17
5171,5,2020-11-19
5172,5,2019-01-04
5173,5,2017-07-03
5174,5,2016-09-01
5175,5,2016-03-15
5176,4,2015-12-31
5177,4,2015-08-08
5178,4,2014-05-30
5179,5,2014-05-04
5180,5,2013-12-16
5181,5,2013-09-15
5182,5,2012-04-24
5183,5,2013-06-17
5225,4,2018-03-22
5226,5,2017-09-14
5227,4,2017-08-29
5228,5,2017-04-29
5851,5,2022-08-16
5862,4,2020-02-29
5877,4,2019-09-20
5878,3,2017-07-16
5879,4,2020-08-11
5880,5,2020-02-18
5881,5,2020-01-05
5882,5,2017-08-25
5883,5,2017-08-16
5884,5,2017-08-06
5885,4,2017-07-30
5886,4,2017-07-23
5887,5,2017-03-11
5888,5,2017-01-05
5889,4,2016-07-14
5890,4,2013-09-30
5931,5,2019-03-08
5932,5,2022-08-20
