,rating,review_date
20,4,2016-09-13
29,5,2017-09-01
91,4,2019-06-11
92,2,2022-09-22
93,5,2020-10-11
94,5,2019-06-09
95,5,2018-06-08
96,5,2018-04-01
97,3,2017-09-16
98,5,2017-09-08
99,5,2016-09-12
100,4,2019-05-02
106,4,2021-05-05
107,2,2019-05-29
108,4,2019-03-21
109,3,2018-10-15
110,1,2017-08-03
111,4,2017-04-22
112,4,2016-08-03
122,5,2016-02-11
123,5,2019-06-06
124,5,2018-04-17
143,4,2018-08-08
144,5,2015-02-19
145,4,2013-06-18
148,5,2022-05-08
149,5,2019-03-20
150,5,2018-08-30
151,5,2018-01-30
152,5,2017-07-21
153,4,2016-09-04
154,4,2016-03-26
171,5,2018-04-23
172,4,2015-02-14
173,5,2019-09-22
174,5,2017-05-30
176,5,2017-08-08
177,4,2015-06-07
178,4,2015-02-18
352,4,2022-06-19
353,5,2021-08-18
354,2,2021-07-09
355,5,2020-07-24
356,5,2019-12-10
357,5,2019-07-26
358,5,2019-06-14
359,5,2019-05-08
360,5,2018-11-18
361,5,2018-08-23
362,5,2018-07-19
363,4,2018-07-15
364,3,2018-05-29
365,5,2017-09-07
366,4,2017-07-26
367,4,2017-06-24
368,5,2017-05-20
369,4,2016-10-19
370,4,2016-08-30
371,4,2016-06-09
372,5,2016-03-10
373,4,2016-01-31
374,5,2016-01-13
375,3,2015-09-22
376,1,2015-08-31
377,5,2015-08-10
378,5,2015-08-08
379,4,2015-06-11
380,5,2015-05-16
381,4,2014-10-02
382,4,2014-07-05
383,5,2019-05-12
384,4,2014-08-12
515,4,2016-01-22
516,4,2013-02-25
519,1,2019-03-04
611,5,2022-08-01
612,4,2019-12-13
613,5,2017-11-06
614,5,2017-08-21
615,4,2016-10-01
616,2,2016-07-14
617,4,2016-08-18
618,5,2016-01-30
631,5,2016-06-22
632,4,2014-06-19
633,5,2022-07-12
634,4,2020-08-16
635,4,2020-07-11
636,5,2019-10-24
637,5,2019-10-24
638,4,2019-10-09
639,3,2019-08-23
640,4,2019-08-22
667,5,2022-08-10
689,3,2014-09-11
690,5,2020-09-01
691,1,2020-07-05
692,4,2019-01-31
693,4,2018-08-08
694,1,2018-05-18
695,4,2018-04-16
696,1,2018-03-24
697,5,2018-03-03
698,3,2016-12-15
704,1,2019-09-27
705,5,2019-06-23
706,5,2019-05-31
707,5,2018-12-11
718,5,2022-09-01
719,5,2022-06-05
720,1,2019-08-10
721,4,2017-04-23
722,4,2016-08-05
723,4,2016-07-14
740,5,2016-07-31
741,5,2016-05-23
742,5,2017-12-28
743,3,2017-05-01
744,5,2017-04-23
745,5,2017-04-09
746,4,2017-03-26
747,3,2016-11-03
748,4,2016-10-23
761,5,2020-08-08
762,5,2015-02-12
763,5,2022-05-20
764,1,2019-03-27
765,5,2018-11-17
766,4,2018-03-05
767,4,2017-12-31
768,4,2017-12-22
769,5,2017-09-23
770,5,2017-08-03
771,5,2016-08-03
772,5,2014-05-03
1259,5,2020-10-08
1260,2,2020-08-03
1261,5,2020-04-29
1262,4,2020-04-18
1263,5,2020-03-31
1267,5,2022-06-10
1268,5,2021-02-26
1269,5,2021-01-01
1270,5,2020-02-05
1271,5,2019-04-26
1272,5,2021-09-15
1273,5,2021-07-11
1274,5,2019-10-20
1371,5,2021-08-17
1372,4,2020-08-25
1373,5,2020-06-23
1374,5,2020-02-18
1375,4,2020-01-30
1376,3,2020-01-02
1377,5,2019-12-28
1378,2,2019-10-26
1379,4,2019-04-30
1380,4,2019-03-24
1381,1,2019-03-07
1382,1,2019-01-08
1383,5,2019-01-03
1384,2,2018-11-18
1385,5,2018-11-17
1386,5,2018-01-28
1387,4,2018-01-22
1388,3,2017-10-21
1389,4,2017-10-12
1390,4,2017-07-13
