,rating,review_date
565,5,2021-08-09
566,5,2020-02-11
567,5,2018-11-17
568,3,2018-09-03
569,5,2018-08-29
570,5,2022-07-06
571,5,2022-05-07
572,5,2022-01-30
573,5,2022-01-30
574,5,2022-01-16
575,5,2022-01-03
576,5,2020-10-29
577,5,2020-10-25
578,4,2020-02-26
579,5,2019-11-16
580,5,2019-08-28
581,5,2019-04-27
1238,4,2022-06-11
1239,5,2022-03-20
1240,4,2022-02-01
1241,3,2022-01-30
1242,1,2021-09-08
1243,1,2020-10-20
1244,5,2020-07-30
1245,5,2020-07-28
1246,5,2020-07-25
1247,5,2019-12-22
1248,4,2019-10-06
1249,5,2019-09-22
1250,5,2019-08-22
1251,4,2019-07-02
1252,5,2019-06-30
1253,4,2019-03-30
1254,4,2019-03-07
1255,4,2018-11-11
1256,3,2018-10-16
1257,3,2018-11-14
1258,5,2018-10-17
1961,4,2020-05-17
1962,5,2020-01-15
1963,5,2019-12-20
1964,5,2019-12-08
1965,3,2019-12-04
1966,4,2019-11-25
1967,5,2019-09-04
1968,4,2019-08-20
1969,4,2019-07-07
1970,5,2019-05-03
1971,5,2019-04-27
1972,5,2019-04-07
1973,5,2019-02-08
1974,4,2018-11-21
1975,5,2018-11-21
1976,5,2018-11-11
1977,5,2018-11-04
1978,5,2018-09-05
1979,5,2018-08-01
1980,4,2018-07-08
1981,4,2018-06-06
1982,4,2018-05-11
1983,5,2018-05-09
1984,5,2018-05-04
1985,5,2018-03-25
1986,5,2018-03-11
1987,5,2018-03-01
1988,5,2018-02-11
1989,5,2018-02-03
1990,4,2018-01-07
1991,4,2017-12-14
1992,4,2017-11-13
1993,4,2017-10-07
1994,4,2017-06-05
1995,3,2017-05-30
1996,5,2017-05-24
1997,5,2017-05-10
1998,5,2017-04-06
1999,3,2017-03-07
2000,5,2017-02-18
2001,4,2017-02-15
2002,4,2017-02-09
2003,5,2017-02-06
2004,5,2017-02-01
2005,4,2017-01-05
2006,5,2017-01-01
2007,5,2016-12-22
2008,5,2016-12-13
2009,5,2016-11-09
2010,5,2016-10-31
2011,5,2016-10-15
2012,5,2016-09-18
2013,5,2016-08-21
2014,4,2016-07-29
2015,5,2016-07-23
2016,4,2016-06-05
2017,5,2016-05-04
2018,5,2016-04-17
2019,3,2016-04-09
2020,3,2016-02-12
2021,5,2016-01-31
2022,5,2016-01-21
2023,3,2016-01-17
2024,5,2016-01-11
2025,4,2015-12-30
2026,5,2015-11-18
2027,5,2015-10-14
2028,3,2015-10-07
2029,5,2015-09-22
2030,3,2015-09-09
2031,5,2015-08-23
2032,4,2015-06-17
2033,3,2015-06-10
2034,5,2015-06-09
2035,4,2015-04-02
2036,2,2015-03-31
2037,5,2015-02-18
2038,5,2017-07-12
2039,5,2017-05-04
2040,3,2017-04-19
2041,4,2017-02-09
2042,4,2017-01-18
2043,5,2016-12-02
2044,4,2016-05-12
2045,5,2016-02-10
2046,5,2015-10-25
2047,4,2015-08-03
2058,5,2021-04-28
2059,4,2019-03-24
2060,5,2016-06-04
2061,4,2016-05-30
2062,5,2016-04-23
2063,5,2016-02-04
2113,5,2019-09-15
2114,5,2019-06-28
2115,5,2019-02-08
2782,2,2020-10-17
2783,1,2020-09-14
2784,1,2020-07-03
2785,3,2020-02-20
2786,1,2019-09-27
2787,1,2019-08-25
2788,3,2019-07-02
2789,1,2019-06-10
2790,2,2019-05-25
2791,2,2019-01-19
2792,4,2018-12-12
2793,1,2018-11-23
2794,1,2018-10-25
2795,4,2018-10-13
2796,4,2018-08-24
2797,1,2018-05-22
2798,4,2018-05-16
2799,2,2018-05-10
2800,4,2018-03-19
2801,4,2018-03-03
2802,4,2018-02-09
2803,2,2018-02-02
2804,2,2018-01-13
2805,3,2017-12-17
2806,5,2017-12-17
2807,1,2017-12-12
2808,2,2017-10-01
2809,1,2017-09-24
2810,1,2017-09-20
2811,4,2017-08-23
2812,3,2017-08-09
2813,4,2017-07-30
2814,4,2017-05-17
2815,3,2017-04-30
2816,3,2017-04-22
2817,5,2017-04-19
2818,5,2017-04-04
2819,3,2017-02-23
2820,2,2017-02-14
2821,4,2017-02-09
2822,5,2016-12-07
2823,4,2016-12-04
2824,4,2016-11-11
2825,1,2016-10-31
2826,4,2016-10-25
2827,4,2016-10-18
2828,3,2016-10-18
2829,2,2016-10-17
2830,5,2016-10-12
2831,2,2016-08-23
2832,3,2016-08-15
2833,5,2016-08-07
2834,5,2016-08-05
2835,4,2016-08-04
2836,4,2016-08-02
2837,4,2016-07-31
2838,3,2016-07-10
2839,1,2016-06-17
2840,5,2016-05-13
2841,5,2016-05-01
2842,2,2016-04-25
2843,4,2016-04-17
2844,1,2016-04-15
2845,3,2016-03-24
2846,3,2016-03-20
2847,4,2016-02-28
2848,4,2016-02-27
2849,5,2016-02-22
2850,5,2016-02-11
2851,3,2016-02-08
2852,2,2016-01-29
2853,3,2016-01-24
2854,3,2016-01-17
2855,3,2016-01-17
2856,5,2016-01-10
2857,1,2016-01-05
2858,1,2015-12-30
2859,2,2015-12-14
2860,2,2015-11-26
2861,2,2015-11-15
2862,4,2015-11-02
2863,4,2015-10-26
2864,3,2015-10-19
2865,4,2015-10-19
2866,3,2015-10-15
2867,3,2015-10-11
2868,3,2015-10-09
2869,3,2015-10-02
2870,3,2015-09-10
2871,4,2015-09-09
2872,4,2015-08-27
2873,4,2015-08-25
2874,2,2015-07-26
2875,5,2015-07-12
2876,4,2015-04-24
2877,2,2015-03-31
2878,1,2015-03-27
2879,5,2015-02-25
2880,4,2015-02-18
2881,1,2015-01-22
2882,3,2014-11-08
2883,3,2014-10-12
2884,3,2014-09-12
2885,4,2014-08-22
2886,5,2014-07-10
2887,5,2014-06-20
2888,4,2014-04-23
2889,4,2014-04-22
2890,5,2014-04-10
2891,4,2014-02-28
2892,4,2014-02-03
2893,5,2014-01-22
2894,4,2013-12-26
2895,4,2013-12-26
2896,5,2013-11-30
2897,4,2013-09-26
2898,3,2016-09-11
3098,5,2022-06-23
3099,4,2022-06-06
3100,5,2021-10-20
3101,5,2021-08-02
3102,5,2021-07-24
3103,4,2020-02-04
3104,1,2020-01-02
3105,5,2019-12-10
3106,1,2019-10-31
3107,5,2019-09-04
3108,2,2019-05-04
3109,2,2019-04-08
3110,4,2019-03-30
3111,1,2019-03-06
3112,5,2019-03-03
3113,5,2019-03-02
3114,3,2018-12-27
3115,2,2018-12-12
3116,1,2018-12-09
3117,5,2018-09-07
3118,4,2018-09-01
3119,4,2018-08-17
3120,4,2018-08-17
3121,4,2018-08-10
3122,2,2018-07-25
3123,5,2018-06-23
3124,3,2018-05-21
3125,5,2018-04-08
3126,5,2018-02-16
3127,3,2018-02-10
3128,1,2018-01-19
3129,1,2018-01-15
3130,4,2018-01-10
3131,1,2018-01-06
3132,5,2017-12-09
3133,3,2017-12-03
3134,5,2017-11-11
3135,4,2017-10-30
3136,3,2017-10-06
3137,2,2017-10-06
3138,5,2017-09-20
3139,5,2017-09-14
3140,4,2017-09-04
3141,3,2017-09-03
3142,4,2017-07-24
3143,5,2017-06-04
3144,4,2017-05-25
3145,5,2017-04-30
3146,5,2017-03-23
3147,5,2017-03-08
3148,3,2017-01-28
3149,5,2017-01-13
3150,5,2017-01-03
3151,5,2016-12-18
3152,5,2016-11-27
3153,4,2016-11-06
3154,4,2016-10-31
3155,4,2016-10-19
3156,5,2016-10-01
3157,5,2016-09-18
3158,5,2016-09-18
3159,4,2016-09-14
3160,5,2016-09-10
3161,5,2016-08-29
3162,4,2016-08-26
3163,4,2016-08-22
3164,1,2016-08-20
3165,5,2016-08-17
3166,5,2016-08-17
3167,3,2016-08-10
3168,4,2016-08-07
3169,4,2016-08-05
3170,4,2016-07-20
3171,5,2016-07-16
3172,5,2016-06-30
3173,4,2016-06-17
3174,2,2016-06-05
3175,4,2016-05-29
3176,3,2016-05-21
3177,3,2016-05-18
3178,4,2016-04-26
3179,4,2016-04-08
3180,5,2016-04-01
3181,5,2016-03-30
3182,5,2016-03-28
3183,5,2016-02-29
3184,2,2016-01-21
3185,4,2016-01-19
3186,2,2016-01-10
3187,4,2016-01-06
3188,4,2016-01-05
3189,4,2016-01-04
3190,4,2015-12-22
3191,4,2015-12-14
3192,5,2015-12-09
3193,5,2015-11-19
3194,5,2015-11-15
3195,3,2015-11-14
3196,4,2015-10-20
3197,3,2015-09-19
3198,4,2015-08-25
3199,5,2015-08-22
3200,5,2015-08-21
3201,5,2015-08-20
3202,4,2015-08-16
3203,3,2015-08-14
3204,5,2015-08-11
3205,5,2015-08-09
3206,4,2015-08-06
3207,5,2015-08-04
3208,4,2015-07-13
3209,3,2015-06-18
3210,5,2015-05-14
3211,5,2015-04-19
3212,5,2015-04-18
3213,4,2015-03-30
3214,5,2015-03-11
3215,5,2015-03-04
3216,3,2015-02-23
3217,4,2015-02-01
3218,5,2014-10-30
3219,4,2019-09-23
4530,5,2022-02-15
4531,5,2022-02-05
5577,2,2021-05-11
5578,5,2020-05-03
5579,4,2019-12-18
5580,2,2019-09-14
5581,1,2019-08-20
5582,1,2019-03-30
5583,1,2019-02-04
5584,2,2019-01-24
5585,3,2018-12-29
5586,2,2018-12-21
5587,4,2018-11-07
5588,5,2018-11-02
5589,5,2018-10-31
5590,5,2018-10-20
5591,5,2018-10-19
5592,1,2018-10-18
5593,5,2018-10-17
5594,1,2018-10-07
5595,5,2018-09-30
5596,4,2018-09-28
5597,3,2018-09-18
5598,2,2018-09-06
5599,5,2018-08-15
