,rating,review_date
3587,4,2013-04-07
3588,4,2016-06-17
3589,5,2014-08-08
3590,5,2018-01-09
3591,5,2018-01-08
3592,4,2017-05-23
3593,5,2016-03-25
3594,5,2015-09-13
3595,5,2015-08-29
3596,5,2015-07-06
3597,5,2022-10-03
3598,5,2022-09-04
3599,5,2022-08-25
3600,2,2022-08-22
3601,4,2022-08-21
3602,5,2022-08-15
3603,4,2022-08-11
3604,5,2022-08-04
3605,5,2022-08-02
3606,5,2022-07-18
3607,4,2022-07-17
3608,4,2022-07-11
3609,5,2022-01-03
3610,5,2022-01-01
3611,3,2021-12-30
3612,5,2021-12-13
3613,5,2021-11-29
3614,5,2021-11-27
3615,5,2021-10-29
3616,5,2021-09-08
3617,5,2021-08-25
3618,5,2021-08-22
3619,5,2021-08-20
3620,4,2021-08-20
3621,5,2021-08-12
3622,5,2021-08-12
3623,5,2021-07-30
3624,5,2021-07-17
3625,5,2021-07-17
3626,5,2021-06-23
3627,5,2021-06-13
3628,4,2021-06-07
3629,5,2021-06-01
3630,4,2020-12-19
3631,5,2020-10-27
3632,5,2020-10-22
3633,5,2020-10-11
3634,5,2020-10-10
3635,5,2020-10-04
3636,5,2020-09-29
3637,5,2020-09-16
3638,5,2020-08-30
3639,5,2020-08-29
3640,5,2020-08-28
3641,5,2020-08-26
3642,5,2020-08-23
3643,5,2020-08-21
3644,5,2020-08-20
3645,5,2020-08-15
3646,5,2020-08-15
3647,5,2020-08-12
3648,5,2020-08-11
3649,5,2020-08-07
3650,5,2020-02-09
3651,5,2020-01-31
3652,5,2020-01-25
3653,4,2018-08-26
3654,4,2018-06-18
3655,5,2018-06-18
3656,5,2018-05-13
3657,5,2018-05-08
3658,4,2018-05-01
3659,4,2018-04-30
3660,4,2018-04-29
3661,3,2018-04-18
3662,5,2018-04-17
3663,5,2018-04-10
3664,5,2018-04-09
3665,4,2018-04-05
3666,3,2018-03-20
3667,5,2018-03-12
3668,5,2018-03-10
3669,5,2018-02-25
3670,4,2018-02-18
3671,4,2018-02-17
3672,5,2018-02-12
3673,5,2017-09-14
3674,3,2017-09-11
3675,5,2017-09-09
3676,5,2017-09-09
3677,5,2017-09-06
3678,4,2017-09-05
3679,4,2017-09-05
3680,5,2017-09-04
3681,3,2017-09-03
3682,5,2017-09-02
3683,4,2017-09-02
3684,5,2017-09-02
3685,5,2017-08-30
3686,4,2017-08-29
3687,5,2017-08-27
3688,5,2017-08-26
3689,2,2017-08-23
3690,5,2017-08-23
3691,4,2017-08-21
3692,5,2017-08-20
3693,5,2017-08-20
3694,5,2017-08-19
3695,3,2017-08-18
3696,5,2017-08-17
3697,4,2017-08-15
3698,5,2017-08-14
3699,5,2017-08-13
3700,5,2017-08-12
3701,5,2017-08-11
3702,5,2017-08-09
3703,4,2017-08-08
3704,4,2017-08-05
3705,5,2017-07-19
3706,5,2017-07-18
3707,4,2017-07-17
3708,5,2017-07-13
3709,5,2017-07-11
3710,5,2017-07-10
3711,5,2017-07-08
3712,5,2017-07-05
3713,5,2017-06-25
3714,5,2017-06-17
3715,5,2017-06-06
3716,5,2017-06-04
3717,5,2017-05-28
3718,5,2017-05-21
3719,5,2017-05-06
3720,4,2017-05-03
3721,5,2017-05-01
3722,4,2017-04-29
3723,4,2017-04-29
3724,5,2017-04-27
3725,5,2017-02-23
3726,4,2017-02-12
3727,5,2017-02-05
3728,5,2017-01-18
3729,5,2017-01-10
3730,4,2017-01-07
3731,4,2017-01-04
3732,5,2017-01-03
3733,5,2016-12-31
3734,5,2016-12-26
3735,4,2016-12-18
3736,5,2016-12-14
3737,3,2016-12-14
3738,3,2016-12-11
3739,5,2016-12-11
3740,4,2016-12-10
3741,5,2016-12-10
3742,2,2016-09-19
3743,5,2016-09-14
3744,4,2016-09-11
3745,5,2016-09-10
3746,4,2016-09-06
3747,4,2016-09-01
3748,4,2016-09-01
3749,5,2016-01-15
3750,5,2016-01-14
3751,5,2016-01-14
3752,5,2016-01-13
3753,4,2016-01-13
3754,5,2016-01-07
3755,4,2016-01-06
3756,5,2016-01-05
3757,5,2016-01-04
3758,4,2016-01-03
3759,4,2015-10-12
3760,5,2015-09-13
3761,4,2015-09-05
3762,5,2015-09-01
3763,4,2015-08-29
3764,4,2015-08-27
3765,5,2015-08-22
3766,5,2015-08-21
3767,3,2015-08-18
3768,4,2015-08-17
3769,5,2015-08-16
3770,4,2015-08-16
3771,4,2015-08-14
3772,5,2015-08-11
3773,4,2015-08-11
3774,4,2015-08-11
3775,5,2015-04-19
3776,5,2015-04-16
3777,5,2015-04-15
3778,4,2015-04-13
3779,5,2015-04-03
3780,5,2015-03-28
3781,3,2015-03-23
3782,4,2015-03-22
3783,5,2015-03-20
3784,4,2015-03-20
3785,5,2015-03-20
3786,5,2015-03-05
3787,4,2015-02-14
3788,5,2015-01-26
3789,5,2015-01-22
3790,5,2015-01-12
3791,5,2015-01-12
3792,5,2015-01-09
3793,2,2015-01-08
3794,5,2015-01-07
3795,4,2014-12-22
3796,4,2014-12-21
3797,5,2014-12-12
3798,4,2014-12-11
3799,4,2014-11-25
3800,5,2014-11-23
3801,5,2014-11-23
3802,1,2014-11-12
3803,5,2014-11-05
3804,4,2014-11-02
3805,4,2014-10-25
3806,5,2014-10-21
3807,4,2014-10-20
3808,4,2014-10-16
3809,4,2014-10-16
3810,5,2014-10-16
3811,4,2014-10-14
3812,5,2014-09-30
3813,5,2014-09-29
3814,4,2014-09-29
3815,4,2014-09-27
3816,1,2014-09-26
3817,4,2014-09-22
3818,4,2014-09-16
3819,4,2014-09-13
3820,3,2014-09-08
3821,4,2014-08-11
3822,5,2014-07-27
3823,5,2014-07-27
3824,5,2014-07-24
3825,5,2014-07-12
3826,4,2014-07-11
3827,5,2014-07-01
3828,5,2014-06-15
3829,4,2014-06-10
3830,5,2014-06-06
3831,5,2014-06-04
3832,5,2014-06-03
3833,5,2014-06-01
3834,5,2014-05-28
3835,4,2014-05-27
3836,5,2014-05-09
3837,5,2014-05-05
3838,5,2014-05-02
3839,5,2014-04-30
3840,2,2014-04-29
3841,3,2012-11-04
3894,5,2020-02-29
3895,5,2019-01-22
6121,4,2019-07-12
6122,4,2018-08-26
6123,4,2016-03-16
6124,4,2015-08-21
6125,5,2015-08-09
6126,4,2015-05-07
6127,5,2018-05-21
6128,5,2016-04-10
6129,4,2014-12-26
6916,5,2021-10-21
6917,5,2021-08-19
6918,5,2021-08-19
7228,5,2022-08-26
7229,5,2022-07-12
7230,5,2022-06-29
7231,5,2022-05-12
7232,5,2021-12-31
7233,5,2021-10-29
7234,5,2021-10-23
7235,5,2021-10-08
7236,5,2021-06-29
7237,5,2021-06-12
7238,5,2020-11-11
7239,5,2020-10-22
7240,5,2020-10-19
7241,5,2020-09-18
7242,5,2020-09-03
7243,5,2020-08-13
7244,5,2020-07-16
7245,5,2020-07-16
7246,5,2019-10-15
7247,5,2019-09-09
7248,5,2019-08-17
7249,5,2019-08-05
7250,5,2019-07-28
7251,5,2019-06-23
7252,5,2019-05-14
7253,5,2018-11-30
7254,5,2018-10-03
7255,5,2018-09-19
7256,5,2018-08-08
7257,4,2018-07-05
7258,5,2018-05-03
7259,5,2018-02-20
7260,5,2017-11-12
7261,5,2017-10-15
7262,5,2014-08-13
7263,4,2013-08-17
7264,5,2019-07-28
7265,5,2018-06-26
7266,5,2017-07-26
17793,5,2022-07-14
17794,4,2021-07-14
17795,5,2020-03-16
17796,5,2019-11-06
17797,4,2019-08-12
17798,5,2019-08-03
17799,5,2019-06-11
17800,4,2019-03-24
17801,5,2018-11-13
17802,5,2018-10-27
17803,5,2018-10-23
17804,5,2018-08-29
17805,5,2018-07-21
17806,5,2020-09-27
17807,5,2019-05-04
48106,5,2022-05-31
48107,5,2021-08-12
48108,1,2022-04-15
48109,5,2021-12-12
48110,5,2021-11-07
48111,5,2021-10-13
48112,5,2021-10-08
48113,5,2021-10-03
48114,5,2021-08-10
48115,5,2021-08-08
48116,5,2021-06-28
48117,5,2021-06-06
48118,5,2021-05-10
48119,5,2020-10-28
48120,4,2020-10-21
48170,1,2022-08-28
48171,2,2022-07-14
48172,1,2022-06-06
48173,4,2021-10-29
48174,1,2021-06-04
48175,1,2020-10-03
48176,1,2020-08-26
48177,1,2020-08-23
48178,5,2020-08-14
48179,1,2020-08-06
48180,2,2020-07-30
48181,2,2020-07-27
48182,2,2020-07-27
48183,2,2020-07-26
48184,2,2020-07-21
48185,3,2020-07-15
48186,5,2019-11-02
48187,2,2019-06-04
48188,5,2019-04-15
48189,1,2019-04-06
48190,1,2018-12-16
48191,1,2018-11-18
48192,2,2018-10-22
48193,2,2018-05-05
48194,1,2017-11-03
48195,4,2017-08-22
48196,4,2017-04-05
48197,1,2016-08-27
