,rating,review_date
20,4,2016-09-13
89,5,2019-08-07
90,4,2017-07-29
143,4,2018-08-08
144,5,2015-02-19
145,4,2013-06-18
171,5,2018-04-23
176,5,2017-08-08
177,4,2015-06-07
178,4,2015-02-18
519,1,2019-03-04
611,5,2022-08-01
612,4,2019-12-13
613,5,2017-11-06
614,5,2017-08-21
615,4,2016-10-01
616,2,2016-07-14
617,4,2016-08-18
618,5,2016-01-30
631,5,2016-06-22
632,4,2014-06-19
633,5,2022-07-12
634,4,2020-08-16
635,4,2020-07-11
636,5,2019-10-24
637,5,2019-10-24
638,4,2019-10-09
639,3,2019-08-23
640,4,2019-08-22
1100,5,2021-09-08
1101,5,2020-06-14
1102,5,2019-10-12
1103,5,2019-06-03
1104,4,2017-10-18
1105,2,2015-02-15
1183,5,2022-08-28
1184,5,2022-08-16
1185,5,2022-07-02
1186,3,2022-06-11
1187,4,2022-05-16
1188,4,2022-05-10
1189,5,2022-01-28
1190,5,2022-01-15
1191,5,2021-11-24
1192,5,2021-10-29
1193,5,2021-09-12
1194,5,2021-06-14
1195,5,2021-06-10
1196,5,2021-06-03
1197,4,2020-08-11
1198,5,2020-07-03
1199,5,2020-02-01
1200,4,2020-01-15
1201,3,2020-01-08
1202,5,2019-11-30
1203,5,2019-11-16
1204,5,2019-09-20
1205,5,2019-08-30
1206,5,2019-06-28
1207,5,2019-06-23
1208,5,2019-06-21
1209,5,2019-06-15
1210,5,2019-06-14
1211,5,2019-06-14
1212,5,2019-05-28
1213,5,2019-05-04
1214,5,2019-04-19
1215,4,2019-04-13
1216,4,2019-03-30
1217,5,2019-03-09
1218,5,2019-03-09
1219,3,2019-03-09
1220,5,2019-03-03
1221,5,2019-03-03
1222,5,2019-02-16
1223,5,2019-02-10
1224,5,2019-02-05
1225,5,2019-01-31
1226,5,2019-01-04
1227,4,2018-12-16
1228,5,2018-11-30
1229,5,2018-11-23
1230,5,2018-11-17
1231,5,2018-11-16
1232,3,2018-11-11
1233,5,2018-11-03
1234,5,2018-10-05
1235,5,2018-09-18
1236,5,2018-09-08
1237,5,2018-09-05
1371,5,2021-08-17
1372,4,2020-08-25
1373,5,2020-06-23
1374,5,2020-02-18
1375,4,2020-01-30
1376,3,2020-01-02
1377,5,2019-12-28
1378,2,2019-10-26
1379,4,2019-04-30
1380,4,2019-03-24
1381,1,2019-03-07
1382,1,2019-01-08
1383,5,2019-01-03
1384,2,2018-11-18
1385,5,2018-11-17
1386,5,2018-01-28
1387,4,2018-01-22
1388,3,2017-10-21
1389,4,2017-10-12
1390,4,2017-07-13
1391,3,2017-03-16
1392,3,2017-02-10
1393,3,2017-01-08
1394,1,2016-11-09
1395,3,2016-09-03
1396,5,2016-07-23
1397,4,2016-07-10
1398,2,2016-06-18
1399,2,2016-06-04
1400,1,2016-06-01
1401,3,2016-05-19
1402,2,2016-04-23
1403,1,2016-03-21
1404,5,2016-03-15
1405,2,2016-02-04
1406,3,2016-02-03
1407,2,2016-01-27
1408,2,2015-10-20
