,rating,review_date
100,4,2019-05-02
106,4,2021-05-05
107,2,2019-05-29
108,4,2019-03-21
109,3,2018-10-15
110,1,2017-08-03
111,4,2017-04-22
112,4,2016-08-03
176,5,2017-08-08
177,4,2015-06-07
178,4,2015-02-18
352,4,2022-06-19
353,5,2021-08-18
354,2,2021-07-09
355,5,2020-07-24
356,5,2019-12-10
357,5,2019-07-26
358,5,2019-06-14
359,5,2019-05-08
360,5,2018-11-18
361,5,2018-08-23
362,5,2018-07-19
363,4,2018-07-15
364,3,2018-05-29
365,5,2017-09-07
366,4,2017-07-26
367,4,2017-06-24
368,5,2017-05-20
369,4,2016-10-19
370,4,2016-08-30
371,4,2016-06-09
372,5,2016-03-10
373,4,2016-01-31
374,5,2016-01-13
375,3,2015-09-22
376,1,2015-08-31
377,5,2015-08-10
378,5,2015-08-08
379,4,2015-06-11
380,5,2015-05-16
381,4,2014-10-02
382,4,2014-07-05
383,5,2019-05-12
384,4,2014-08-12
519,1,2019-03-04
582,4,2022-01-03
611,5,2022-08-01
612,4,2019-12-13
613,5,2017-11-06
614,5,2017-08-21
615,4,2016-10-01
616,2,2016-07-14
617,4,2016-08-18
618,5,2016-01-30
689,3,2014-09-11
690,5,2020-09-01
691,1,2020-07-05
692,4,2019-01-31
693,4,2018-08-08
694,1,2018-05-18
695,4,2018-04-16
696,1,2018-03-24
697,5,2018-03-03
698,3,2016-12-15
741,5,2016-05-23
742,5,2017-12-28
743,3,2017-05-01
744,5,2017-04-23
745,5,2017-04-09
746,4,2017-03-26
747,3,2016-11-03
748,4,2016-10-23
761,5,2020-08-08
1259,5,2020-10-08
1260,2,2020-08-03
1261,5,2020-04-29
1262,4,2020-04-18
1263,5,2020-03-31
1267,5,2022-06-10
1268,5,2021-02-26
1269,5,2021-01-01
1270,5,2020-02-05
1271,5,2019-04-26
1272,5,2021-09-15
1273,5,2021-07-11
1274,5,2019-10-20
1371,5,2021-08-17
1372,4,2020-08-25
1373,5,2020-06-23
1374,5,2020-02-18
1375,4,2020-01-30
1376,3,2020-01-02
1377,5,2019-12-28
1378,2,2019-10-26
1379,4,2019-04-30
1380,4,2019-03-24
1381,1,2019-03-07
1382,1,2019-01-08
1383,5,2019-01-03
1384,2,2018-11-18
1385,5,2018-11-17
1386,5,2018-01-28
1387,4,2018-01-22
1388,3,2017-10-21
1389,4,2017-10-12
1390,4,2017-07-13
1391,3,2017-03-16
1392,3,2017-02-10
1393,3,2017-01-08
1394,1,2016-11-09
1395,3,2016-09-03
1396,5,2016-07-23
1397,4,2016-07-10
1398,2,2016-06-18
1399,2,2016-06-04
1400,1,2016-06-01
1401,3,2016-05-19
1402,2,2016-04-23
1403,1,2016-03-21
1404,5,2016-03-15
1405,2,2016-02-04
1406,3,2016-02-03
1407,2,2016-01-27
1408,2,2015-10-20
1409,3,2015-06-26
1410,2,2015-03-08
1411,4,2015-01-04
1412,4,2014-12-21
1413,2,2014-12-16
1414,4,2014-12-13
1415,5,2014-11-20
1416,3,2014-08-16
1417,2,2014-06-08
1418,3,2014-05-21
1419,4,2014-03-11
1420,4,2017-11-20
1421,4,2016-04-09
1422,4,2016-02-15
1423,5,2015-08-24
1424,4,2014-11-08
1425,3,2022-09-11
1426,5,2022-06-22
1427,5,2022-04-23
1428,5,2022-03-25
1429,4,2022-02-06
1430,5,2020-09-19
1431,2,2020-07-03
1432,4,2020-06-10
1433,5,2020-06-06
1434,3,2020-02-02
1435,4,2020-01-02
1436,5,2019-11-24
1437,4,2019-11-13
1438,5,2019-10-27
1439,5,2019-09-17
1440,4,2019-08-09
1441,4,2019-06-17
1442,4,2019-04-14
1443,4,2019-03-24
1444,5,2019-03-20
1445,4,2019-03-19
1446,4,2018-12-12
1447,4,2018-11-18
1448,4,2018-08-21
1449,4,2018-07-01
1450,5,2018-04-26
1451,4,2018-04-23
1452,4,2018-04-19
1453,4,2018-04-16
1454,4,2018-03-03
1455,4,2018-01-22
1456,4,2017-12-28
1457,3,2017-12-14
1458,5,2017-09-27
1459,4,2017-09-24
1460,4,2017-09-17
1461,3,2017-09-06
1462,5,2017-07-17
1463,4,2017-05-28
1464,4,2017-04-20
1465,4,2017-03-17
1466,5,2017-02-09
1467,5,2017-01-20
1468,4,2017-01-18
1469,4,2016-11-06
1470,5,2016-10-19
1471,5,2016-09-29
1472,3,2016-07-25
1473,4,2016-07-17
1474,4,2016-06-06
1475,5,2016-06-01
1476,5,2016-05-17
1477,5,2016-05-13
1478,5,2016-05-06
1479,4,2016-04-27
1480,2,2016-02-13
1481,4,2016-01-31
1482,3,2016-01-10
1483,5,2015-10-29
1484,3,2015-10-26
1485,3,2015-09-01
1486,5,2015-08-11
1487,5,2015-05-13
1488,4,2015-03-08
1489,3,2015-02-02
1490,5,2014-11-20
1491,4,2014-10-23
1492,4,2014-10-04
1493,3,2014-09-19
1494,4,2014-07-19
1495,3,2014-01-20
1496,4,2014-01-20
1497,5,2014-01-20
1498,5,2014-01-05
1499,3,2013-10-05
1500,4,2013-05-05
1501,4,2016-11-08
1502,4,2016-02-10
1503,2,2022-01-07
1504,4,2019-10-24
1505,4,2019-04-13
1506,4,2018-04-25
1507,5,2017-12-20
1508,5,2017-10-01
1509,4,2017-03-17
1510,4,2016-09-01
1511,4,2015-05-27
1512,4,2015-05-15
1513,3,2014-06-01
1514,5,2015-10-09
2074,4,2021-09-16
2075,3,2021-07-15
2076,4,2019-04-01
2077,5,2019-03-02
2078,5,2018-10-23
2079,4,2018-09-03
2082,5,2022-02-23
2083,5,2020-12-22
2084,5,2019-01-28
2085,4,2018-06-29
2086,1,2018-03-31
2087,5,2018-03-09
2088,5,2017-08-17
2089,4,2017-04-09
2090,4,2016-07-27
2091,4,2016-04-21
2092,1,2015-05-13
2093,4,2013-08-24
2110,3,2021-10-31
2111,5,2019-04-01
2112,5,2018-08-06
2899,4,2022-04-25
2900,5,2022-04-23
2901,2,2020-10-02
2902,5,2020-04-07
2903,2,2020-03-09
2904,5,2020-02-21
2905,3,2019-12-01
2906,5,2019-09-10
2907,5,2019-08-22
2908,5,2019-08-09
2909,3,2019-06-17
2910,3,2018-09-06
2911,4,2018-06-23
2912,2,2018-06-11
2913,4,2018-06-07
2914,4,2018-05-30
2915,5,2018-05-28
2916,5,2018-05-28
2917,1,2018-05-25
2918,1,2018-04-07
2919,2,2018-03-19
2920,2,2017-09-02
2921,1,2017-07-24
2922,2,2017-06-03
2923,2,2017-05-30
2924,5,2017-05-13
2925,5,2017-05-11
2926,5,2017-05-11
2927,3,2017-04-21
2928,2,2017-03-25
2929,2,2017-03-06
2930,4,2017-03-04
2931,1,2017-01-16
2932,3,2016-11-17
2933,1,2016-10-06
2934,4,2016-06-18
2935,5,2016-06-08
2936,5,2016-05-25
2937,4,2016-05-21
2938,5,2016-05-21
2939,5,2016-05-21
2940,4,2016-04-11
2941,1,2016-04-11
2942,3,2016-04-10
2943,1,2016-04-10
2944,2,2016-03-28
2945,4,2016-03-07
2946,1,2016-01-16
2947,1,2015-12-14
2948,1,2015-12-11
2949,3,2015-10-31
2950,1,2015-10-08
2951,4,2015-07-10
2952,2,2015-03-14
2953,2,2014-12-30
2954,3,2014-12-17
2955,4,2014-10-05
2956,4,2014-09-18
2957,3,2014-09-16
2958,2,2014-05-30
2959,4,2013-11-30
