,rating,review_date
602,1,2022-02-13
603,5,2022-01-03
604,5,2021-10-25
605,3,2021-08-28
606,5,2021-06-21
607,5,2021-03-23
611,5,2022-08-01
612,4,2019-12-13
613,5,2017-11-06
614,5,2017-08-21
615,4,2016-10-01
616,2,2016-07-14
617,4,2016-08-18
618,5,2016-01-30
622,3,2019-09-13
623,4,2014-12-23
624,4,2013-02-25
625,4,2017-04-11
626,4,2016-12-27
627,5,2014-12-09
628,4,2012-10-25
674,4,2015-04-09
675,1,2014-06-29
690,5,2020-09-01
691,1,2020-07-05
692,4,2019-01-31
693,4,2018-08-08
694,1,2018-05-18
695,4,2018-04-16
696,1,2018-03-24
697,5,2018-03-03
698,3,2016-12-15
778,2,2022-02-10
779,5,2022-02-06
1829,5,2019-12-20
1830,5,2019-09-13
1831,4,2018-08-21
1832,4,2017-12-05
1833,4,2017-07-17
1834,4,2017-02-14
1835,5,2015-04-28
1836,4,2014-12-21
1861,4,2022-01-03
1862,1,2020-08-28
1863,1,2020-08-28
1864,5,2019-10-04
1865,1,2019-04-14
1866,1,2018-07-02
1867,5,2017-08-29
1868,5,2017-08-07
1869,4,2017-02-15
1870,1,2016-12-09
1871,4,2016-06-01
1872,4,2015-09-11
1873,2,2014-11-20
1874,4,2019-09-19
1875,4,2017-11-08
1876,4,2017-01-21
1877,4,2016-03-06
1878,3,2015-07-07
1879,4,2014-08-08
2692,5,2022-02-03
2693,5,2022-01-27
2694,5,2022-01-27
3851,4,2015-04-22
3852,4,2014-12-18
3853,4,2014-12-14
3854,4,2021-08-15
3855,4,2021-08-05
3856,3,2020-09-13
3857,5,2019-08-28
3858,2,2019-08-16
3859,4,2019-07-29
3860,5,2019-07-04
3861,5,2019-06-10
3862,4,2019-04-05
3863,3,2019-03-18
3864,5,2019-02-25
3865,4,2018-08-24
3866,2,2018-07-14
3867,5,2018-03-03
3868,2,2017-11-19
3869,5,2017-07-31
3870,5,2017-07-29
3871,5,2017-01-03
3872,5,2016-12-11
3873,5,2016-09-06
3874,2,2016-08-23
3875,5,2016-06-02
3876,1,2016-03-26
3877,5,2016-03-26
3878,5,2016-03-15
3879,5,2016-01-31
3880,5,2015-12-30
3881,4,2015-09-22
3882,5,2015-08-18
3883,5,2015-08-11
3884,5,2015-07-26
3885,5,2015-07-24
3886,4,2015-07-22
3967,5,2015-08-25
3968,4,2015-09-06
4196,5,2021-04-04
4197,5,2020-09-06
4198,5,2020-07-21
4199,4,2020-06-01
4200,5,2019-09-30
4201,1,2018-07-27
4202,3,2017-07-18
4203,5,2019-09-16
4204,3,2018-08-13
4205,5,2018-06-23
4206,4,2017-09-04
4207,2,2017-09-03
4208,5,2017-07-19
4209,3,2017-05-29
4210,5,2017-04-14
4306,2,2022-08-01
4307,1,2022-07-21
4308,5,2022-06-25
4309,1,2022-03-23
4310,2,2022-02-06
4311,5,2021-08-10
4312,4,2020-08-10
4313,2,2020-06-13
4314,5,2020-02-09
4315,1,2019-12-29
4316,4,2019-08-06
4317,4,2018-11-14
4318,3,2018-06-18
4319,2,2018-04-29
4320,4,2018-02-28
4321,5,2017-09-20
4322,3,2017-08-06
4323,1,2017-07-29
4324,2,2017-07-28
4325,4,2017-02-16
4326,3,2016-10-02
4327,3,2016-09-01
4328,4,2016-06-28
4329,5,2016-06-27
4330,4,2016-05-02
4577,5,2021-10-07
4578,4,2020-09-03
4579,5,2020-07-05
4580,5,2019-12-29
4581,2,2019-12-28
4582,5,2019-05-19
4583,4,2019-02-14
4584,4,2018-11-12
4585,5,2018-05-24
4586,4,2018-02-18
4587,4,2018-01-28
4588,4,2018-01-26
4589,5,2017-09-20
4590,4,2017-01-01
4591,5,2016-05-11
4592,5,2015-11-09
4593,4,2015-04-30
4594,4,2013-10-30
4769,5,2016-04-12
4770,4,2019-09-11
4771,4,2019-09-04
4772,5,2018-08-19
4773,5,2018-04-05
4774,5,2018-01-18
4775,3,2017-05-30
4776,5,2017-04-17
4777,5,2017-04-15
4778,5,2015-07-07
5104,5,2020-07-20
5105,5,2017-08-06
5106,3,2015-07-04
5107,4,2014-12-16
5108,4,2019-12-09
5109,3,2019-02-10
5110,4,2018-04-11
5111,2,2018-03-20
5112,5,2017-12-06
5113,5,2016-04-03
5147,4,2018-05-17
5352,3,2020-12-20
5353,5,2017-11-25
5354,5,2017-11-12
5355,5,2017-11-06
5356,4,2017-09-19
5357,5,2017-09-04
5358,5,2017-05-17
5359,4,2017-05-10
5360,4,2016-09-20
5361,5,2017-10-18
5821,4,2022-03-07
5822,5,2022-03-04
5823,4,2020-11-19
5824,4,2020-03-23
5825,5,2019-02-14
5826,5,2018-07-21
5827,5,2018-05-28
5828,5,2018-02-23
5829,5,2018-02-01
5830,5,2017-03-28
5831,5,2017-02-16
5832,5,2018-03-08
5833,3,2018-02-23
5852,5,2020-02-13
5853,5,2020-02-29
5854,5,2015-09-15
5873,5,2021-06-07
5931,5,2019-03-08
6781,5,2019-03-01
6852,5,2020-08-17
6853,4,2018-11-12
6854,5,2017-05-19
6856,5,2021-09-13
6857,5,2020-02-01
6858,5,2020-02-01
6859,5,2019-08-18
6860,5,2019-05-04
6861,5,2019-03-05
6862,5,2018-07-23
6863,5,2018-03-26
6864,5,2017-11-08
7220,5,2018-10-06
7221,5,2018-03-20
7222,5,2017-12-17
7570,5,2021-08-23
7571,5,2021-06-27
7572,5,2018-01-16
7573,4,2017-12-28
7574,5,2017-12-11
7575,5,2017-11-21
7576,3,2017-08-29
7577,4,2016-09-24
7578,2,2016-08-23
7579,5,2015-11-20
7580,4,2015-09-01
7581,5,2015-08-31
7582,5,2015-08-04
7698,4,2020-01-02
7699,5,2019-07-06
7861,5,2021-08-25
7862,4,2020-08-02
7863,5,2017-03-21
7864,4,2016-06-10
7865,5,2014-03-03
7938,5,2019-07-20
7939,5,2019-04-18
7940,5,2019-04-18
7941,5,2019-02-25
7942,4,2019-02-14
7943,5,2018-10-15
7944,5,2018-10-14
7945,5,2018-10-13
7946,5,2018-09-05
7947,5,2018-08-22
7948,4,2018-08-20
7949,5,2018-08-20
7950,5,2018-08-20
7951,4,2017-08-30
7952,5,2017-07-15
7953,4,2020-01-13
8392,1,2020-09-06
8393,5,2020-08-22
8394,5,2020-08-08
8395,3,2020-02-03
8396,5,2020-01-27
8397,5,2020-01-04
8398,3,2020-01-04
8399,4,2019-12-02
8400,4,2019-10-05
8401,5,2019-08-06
8402,4,2019-05-22
8403,4,2019-05-05
8404,4,2019-04-28
8405,2,2019-04-19
8406,5,2019-03-24
8407,5,2019-02-24
8408,5,2019-01-27
8409,3,2019-01-04
8410,4,2018-12-11
8411,5,2018-12-10
8412,4,2018-11-04
8413,3,2018-10-28
8414,5,2018-10-03
8415,3,2018-09-10
8416,4,2018-09-04
8417,5,2018-08-29
8418,5,2018-08-11
8419,5,2018-07-25
8420,2,2018-07-25
8421,5,2018-05-10
8422,3,2018-04-15
8423,2,2018-04-10
8424,3,2018-03-31
8425,3,2018-03-31
8426,2,2018-03-20
8427,3,2018-03-06
8428,5,2018-02-21
8429,3,2018-02-14
8430,3,2018-01-26
8431,2,2018-01-23
8432,4,2018-01-21
8433,4,2018-01-14
8434,2,2017-12-30
8435,4,2017-12-22
8436,2,2017-12-20
8437,5,2017-12-18
8438,4,2017-11-08
8439,3,2017-10-25
8440,4,2017-10-08
8441,5,2017-10-05
8442,4,2017-09-18
8443,3,2017-09-09
8444,5,2017-08-20
8445,4,2017-08-02
8446,5,2017-07-10
8447,2,2017-06-11
8448,2,2017-06-03
