,rating,review_date
89,5,2019-08-07
90,4,2017-07-29
92,2,2022-09-22
93,5,2020-10-11
94,5,2019-06-09
95,5,2018-06-08
96,5,2018-04-01
97,3,2017-09-16
98,5,2017-09-08
99,5,2016-09-12
671,5,2020-02-22
1100,5,2021-09-08
1101,5,2020-06-14
1102,5,2019-10-12
1103,5,2019-06-03
1104,4,2017-10-18
1105,2,2015-02-15
2074,4,2021-09-16
2075,3,2021-07-15
2076,4,2019-04-01
2077,5,2019-03-02
2078,5,2018-10-23
2079,4,2018-09-03
2113,5,2019-09-15
2114,5,2019-06-28
2115,5,2019-02-08
2116,5,2019-04-14
3930,5,2021-12-27
3931,5,2019-01-02
3932,5,2018-08-22
3933,3,2016-09-15
3934,5,2016-10-28
3935,5,2015-04-03
3936,5,2014-07-18
3937,5,2014-06-12
3938,5,2012-05-06
4169,3,2017-09-16
4170,5,2017-07-09
4216,5,2020-07-22
4217,5,2020-06-14
4218,5,2019-09-30
4219,5,2019-07-18
4220,5,2019-07-13
4221,5,2019-05-31
4222,4,2018-11-25
4223,5,2018-07-07
4224,5,2018-05-11
4225,5,2017-09-14
4226,4,2017-08-27
4227,5,2017-08-19
4228,5,2017-08-15
4229,5,2017-07-07
4230,5,2017-05-04
4231,5,2016-05-01
4465,5,2022-09-06
4466,5,2022-08-20
4467,5,2022-07-21
4468,5,2022-07-07
4469,5,2022-06-17
4470,5,2022-06-13
4471,4,2022-05-14
4472,5,2022-04-02
4473,5,2022-03-29
4474,5,2022-02-17
4475,5,2022-02-12
4476,5,2022-01-20
4477,5,2022-01-01
4478,5,2021-11-12
4479,5,2021-10-30
4480,5,2021-10-15
4481,5,2021-09-21
4482,5,2021-07-25
4483,5,2021-06-19
4484,5,2021-06-18
4485,5,2021-06-17
4486,5,2020-11-26
4487,5,2020-11-21
4488,5,2020-11-14
4489,5,2020-11-03
4490,5,2020-10-14
4491,5,2020-09-17
4492,5,2020-09-05
4493,5,2020-08-26
4494,5,2020-08-18
