,rating,review_date
0,5,2021-08-19
1,5,2022-07-10
2,5,2022-06-14
3,5,2022-02-04
4,5,2021-11-03
5,5,2021-05-17
6,5,2020-12-18
7,4,2020-10-25
8,5,2020-10-17
9,5,2020-10-17
10,4,2015-11-16
11,5,2015-05-31
12,5,2019-05-30
13,4,2017-10-16
29,5,2017-09-01
30,4,2017-10-03
31,4,2017-06-18
32,4,2016-06-28
33,3,2015-07-28
34,5,2021-09-08
35,5,2020-07-22
36,3,2018-08-08
37,4,2017-10-20
38,4,2015-08-18
39,4,2015-07-25
40,3,2014-06-25
41,4,2013-09-21
42,3,2018-07-29
43,4,2017-07-28
45,4,2022-08-08
46,5,2021-07-06
47,1,2021-05-16
48,5,2019-07-24
49,5,2019-07-30
50,3,2020-05-24
51,4,2019-07-24
52,5,2018-06-26
53,1,2015-08-07
54,5,2020-07-23
55,5,2020-01-29
56,4,2018-08-28
57,5,2018-08-14
58,4,2018-07-15
59,5,2017-10-11
60,1,2017-10-04
61,5,2017-07-28
62,5,2017-03-14
63,5,2021-08-22
64,1,2022-09-04
65,1,2021-07-23
66,5,2020-08-08
67,5,2020-08-08
68,5,2019-08-25
69,2,2019-07-26
70,2,2018-07-15
71,5,2017-09-04
72,4,2017-08-01
82,4,2020-08-09
83,5,2020-10-27
84,5,2017-09-06
85,4,2017-03-14
86,5,2016-05-07
87,5,2014-03-27
88,5,2012-11-20
91,4,2019-06-11
92,2,2022-09-22
93,5,2020-10-11
94,5,2019-06-09
95,5,2018-06-08
96,5,2018-04-01
97,3,2017-09-16
98,5,2017-09-08
99,5,2016-09-12
101,4,2013-04-25
113,5,2020-08-27
114,5,2020-06-15
115,5,2019-06-23
116,3,2018-10-08
117,4,2018-07-09
118,4,2018-01-22
119,5,2016-11-11
120,5,2016-08-25
121,4,2016-08-03
125,4,2019-09-23
126,5,2017-07-23
135,5,2016-06-03
136,3,2014-08-07
137,4,2017-08-18
138,5,2019-03-24
139,5,2016-03-27
140,4,2015-06-07
143,4,2018-08-08
144,5,2015-02-19
145,4,2013-06-18
155,4,2017-08-18
156,4,2012-10-23
157,4,2019-04-28
158,4,2013-10-31
161,3,2015-10-30
162,5,2014-08-08
163,4,2019-06-09
164,5,2017-05-27
165,5,2017-03-15
166,2,2016-08-08
167,4,2016-03-26
168,4,2016-03-23
169,4,2016-03-21
170,5,2016-01-20
171,5,2018-04-23
176,5,2017-08-08
177,4,2015-06-07
178,4,2015-02-18
184,5,2022-09-20
185,5,2022-03-24
186,5,2021-07-10
187,5,2021-05-29
188,5,2020-05-31
189,5,2020-05-26
190,4,2020-02-22
191,5,2020-02-19
192,5,2020-02-08
193,5,2020-01-19
194,5,2020-01-10
195,5,2019-10-01
196,5,2019-09-14
197,5,2019-07-30
198,5,2019-06-27
199,4,2019-06-08
200,5,2019-03-24
201,5,2018-12-03
202,5,2018-11-28
203,5,2018-11-17
204,5,2018-11-09
205,4,2018-08-15
206,5,2018-07-15
207,2,2018-06-08
208,5,2018-06-07
209,5,2018-05-21
210,4,2018-03-07
211,1,2018-01-25
212,5,2017-12-04
213,5,2017-11-17
214,5,2017-10-29
215,4,2017-10-19
216,4,2017-10-12
217,4,2017-09-06
218,4,2017-08-11
219,4,2017-07-09
220,5,2017-07-09
221,4,2017-05-29
222,4,2017-05-08
223,5,2017-04-13
224,5,2017-04-10
225,5,2017-04-08
226,4,2017-03-21
227,5,2017-02-15
228,5,2017-01-29
229,5,2016-11-01
230,5,2016-10-15
231,5,2016-08-28
232,5,2016-07-13
233,3,2016-04-26
234,4,2016-02-09
235,5,2016-01-20
236,5,2015-12-20
237,4,2015-12-19
238,4,2015-11-29
239,5,2015-11-09
240,5,2015-11-03
241,4,2015-10-07
242,3,2015-09-15
243,4,2015-09-13
244,5,2015-09-07
245,5,2015-06-30
246,4,2015-04-27
247,5,2015-03-22
248,5,2014-12-26
249,3,2014-11-15
250,5,2014-11-02
251,5,2014-10-25
252,5,2014-09-14
253,4,2014-05-22
254,4,2014-02-10
255,5,2014-01-28
256,5,2013-10-17
257,5,2019-06-07
259,3,2022-09-05
260,4,2022-07-31
261,2,2022-06-20
262,3,2022-02-13
263,4,2022-02-12
264,2,2021-12-16
265,5,2021-11-07
266,5,2021-08-16
267,5,2021-07-25
268,4,2021-07-19
269,4,2020-10-12
270,5,2020-08-22
271,4,2020-08-02
272,5,2020-07-31
273,4,2020-06-29
274,5,2020-03-07
275,5,2020-02-08
276,5,2020-01-26
277,5,2020-01-21
278,5,2020-01-12
279,3,2020-01-12
280,5,2019-11-25
281,5,2019-10-18
282,2,2019-10-14
283,2,2019-09-29
284,5,2019-09-16
285,2,2019-08-23
286,4,2019-08-20
287,5,2019-07-20
288,5,2019-07-07
289,5,2019-06-21
290,5,2019-06-17
291,5,2019-06-07
292,5,2019-06-04
293,4,2019-05-10
294,5,2019-04-28
295,5,2019-04-27
296,5,2019-02-13
