username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
Lilou1995,2019,32,22,None,None,None,"{'Francaise': 10, 'Europeenne': 7, 'Bar': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Steakhouse': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1, 'Americaine': 1}",4.18,4.24,4.19,4.08,1.91,0.0,1.9
ldj121,2012,41,36,None,None,france,"{'Francaise': 14, 'Europeenne': 10, 'Italienne': 5, 'Steakhouse': 4, 'Bar': 4, 'Americaine': 4, 'Pub': 3, 'Pizza': 3, 'Bar_a_bieres': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1}",3.59,3.32,3.33,3.24,1.41,0.0,1.75
89guillaumef,2017,40,85,None,None,france,"{'Europeenne': 5, 'Suisse': 4, 'Francaise': 3, 'Steakhouse': 2, 'Italienne': 2, 'Pizza': 1, 'Moderne': 1, 'Indienne': 1, 'Fusion': 1, 'Europe_centrale': 1, 'Argentine': 1, 'Americaine': 1}",4.26,4.16,4.21,3.87,1.43,0.0,2.0
visiteur974000,2017,10,6,None,None,None,"{'Francaise': 5, 'Europeenne': 4, 'Steakhouse': 3, 'Americaine': 2, 'Traiteur': 1, 'Portugaise': 1, 'Italienne': 1, 'Grillades': 1}",3.7,3.27,3.23,3.31,1.12,0.0,1.69
L9955MVmariet,2015,30,19,None,None,france,"{'Francaise': 8, 'Europeenne': 6, 'Steakhouse': 2, 'Asiatique': 2, 'Americaine': 2, 'Thai': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Fusion': 1, 'Chinoise': 1, 'Bar': 1}",3.89,3.71,3.6,3.4,2.12,0.0,1.91
lil193,2018,5,5,50-64,H,suisse,"{'Europeenne': 5, 'Francaise': 4, 'Suisse': 2, 'Steakhouse': 1, 'Italienne': 1}",4.07,4.07,4.07,3.45,3.14,0.0,2.38
michelliebmann,2015,120,49,65+,H,portugal,"{'Europeenne': 12, 'Francaise': 10, 'Suisse': 6, 'Italienne': 6, 'Mediterraneenne': 5, 'Steakhouse': 2, 'Brasserie_gastronomique': 2, 'Bar': 2, 'Pub': 1, 'Pizza': 1, 'Japonaise': 1, 'Europe_centrale': 1, 'Cafe': 1, 'Asiatique': 1}",3.91,3.99,3.92,3.64,3.31,0.1,2.14
valerier912,2014,40,32,None,None,france,"{'Francaise': 4, 'Europeenne': 4, 'Suisse': 1, 'Steakhouse': 1, 'Mexicaine': 1, 'Amerique_centrale': 1, 'Americaine': 1}",3.92,4.04,4.1,3.69,3.23,0.19,2.0
587sylviec,2014,610,360,35-49,F,suisse,"{'Europeenne': 25, 'Francaise': 21, 'Suisse': 11, 'Italienne': 5, 'Mediterraneenne': 3, 'Espagnole': 2, 'Bar': 2, 'Traiteur': 1, 'Pizza': 1, 'Internationale': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",4.11,4.15,4.11,3.88,2.48,0.13,2.13
77-AL-74,2013,12,11,None,None,None,"{'Europeenne': 4, 'Francaise': 3, 'Mediterraneenne': 2, 'Tunisienne': 1, 'Suisse': 1, 'Steakhouse': 1, 'Pub': 1, 'Pizza': 1, 'Marocaine': 1, 'Italienne': 1, 'Brasserie_gastronomique': 1}",4.0,4.0,4.0,3.81,3.74,0.0,2.19
PatrickG2652,2012,69,221,None,None,france,"{'Francaise': 11, 'Europeenne': 8, 'Steakhouse': 4, 'Italienne': 3, 'Americaine': 3, 'Saine': 2, 'Restauration_rapide': 2, 'Vietnamienne': 1, 'Thai': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Indienne': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Asiatique': 1, 'Africaine': 1}",3.87,4.04,3.9,3.71,2.14,0.19,2.15
charlesfrancoism,2015,22,188,None,None,indonesie,"{'Europeenne': 4, 'Francaise': 3, 'Steakhouse': 1, 'Italienne': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",4.12,4.16,3.97,3.5,2.5,0.31,2.31
eric-matthys,2014,13,10,None,None,france,"{'Francaise': 6, 'Europeenne': 6, 'Suisse': 1, 'Steakhouse': 1, 'Saine': 1, 'Pub': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Internationale': 1, 'Brasserie_gastronomique': 1, 'Bar': 1, 'Americaine': 1}",3.89,4.06,4.0,3.81,3.05,0.0,2.0
BRUNOF388,2013,238,51,35-49,H,suisse,"{'Francaise': 20, 'Europeenne': 18, 'Italienne': 11, 'Suisse': 9, 'Pizza': 9, 'Americaine': 6, 'Steakhouse': 5, 'Mediterraneenne': 4, 'Restauration_rapide': 3, 'Internationale': 2, 'Europe_centrale': 2, 'Sushi': 1, 'Peruvienne': 1, 'Marocaine': 1, 'Latino': 1, 'Japonaise': 1, 'Fusion': 1}",3.47,3.49,3.49,3.34,1.88,0.04,1.72
