username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
nathalieval1972,2021,10,2,None,None,None,"{'Restauration_rapide': 3, 'Francaise': 2, 'Europeenne': 2, 'Turque': 1, 'Sushi': 1, 'Pizza': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.64,2.74,2.67,2.73,0.57,0.0,1.31
Noibenilec,2012,23,189,None,None,france,"{'Mediterraneenne': 2, 'Europeenne': 2, 'Tunisienne': 1, 'Suisse': 1, 'Pakistanaise': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Internationale': 1, 'Indienne': 1, 'Francaise': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Bar': 1, 'Asiatique': 1}",3.78,3.96,3.85,3.78,3.06,0.0,1.68
simo30112017,2014,31,22,None,None,suisse,"{'Italie_du_Sud': 2, 'Italie_du_Nord': 2, 'Italie_du_Centre': 2, 'Pizza': 1, 'Italienne': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Bar': 1, 'Asiatique': 1}",4.44,4.69,4.59,4.43,1.33,0.0,2.19
695guip,2015,105,29,35-49,H,france,"{'Francaise': 21, 'Europeenne': 16, 'Italienne': 12, 'Pizza': 6, 'Mediterraneenne': 6, 'Asiatique': 6, 'Japonaise': 5, 'Americaine': 5, 'Thai': 4, 'Restauration_rapide': 4, 'Fusion': 4, 'Bar': 4, 'Vietnamienne': 3, 'Saine': 3, 'Indienne': 3, 'Chinoise': 3, 'Toscane': 2, 'Sushi': 2, 'Suisse': 2, 'Pub': 2, 'Moderne': 2, 'Marocaine': 2, 'Lombarde': 2, 'Libanaise': 2, 'Italie_du_Nord': 2, 'Italie_du_Centre': 2, 'Bar_a_vins': 2, 'Tunisienne': 1, 'Pakistanaise': 1, 'Grillades': 1}",4.03,3.61,3.42,3.37,1.97,0.07,1.85
AuroreM8,2011,23,100,25-34,F,france,"{'Francaise': 6, 'Europeenne': 4, 'Chinoise': 4, 'Asiatique': 4, 'Japonaise': 3, 'Thai': 2, 'Restauration_rapide': 2, 'Bar': 2, 'Vietnamienne': 1, 'Turque': 1, 'Sushi': 1, 'Italienne': 1, 'Grillades': 1, 'Bar_a_vins': 1}",3.93,3.61,3.53,3.51,1.11,0.11,1.89
Lilou1995,2019,32,22,None,None,None,"{'Francaise': 10, 'Europeenne': 7, 'Bar': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Steakhouse': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1, 'Americaine': 1}",4.18,4.24,4.19,4.08,1.91,0.0,1.9
ldj121,2012,41,36,None,None,france,"{'Francaise': 14, 'Europeenne': 10, 'Italienne': 5, 'Steakhouse': 4, 'Bar': 4, 'Americaine': 4, 'Pub': 3, 'Pizza': 3, 'Bar_a_bieres': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1}",3.59,3.32,3.33,3.24,1.41,0.0,1.75
Patchoul74,2016,6,6,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,4.0,0.0,0.0,1.0
michele a,2009,2,3,None,None,france,"{'Thai': 1, 'Suisse': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.29,2.5,0.0,1.71
jeansauveura,2021,2,1,None,None,None,"{'Chinoise': 2, 'Asiatique': 2, 'Thai': 1, 'Sushi': 1, 'Japonaise': 1}",3.78,3.78,3.78,4.0,0.0,0.0,1.56
