username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
cerisecherry,2011,64,40,35-49,F,france,"{'Francaise': 10, 'Europeenne': 10, 'Italienne': 4, 'Suisse': 2, 'Pizza': 1, 'Mediterraneenne': 1}",4.11,3.9,3.84,3.63,2.18,0.0,1.78
Hypocras74,2011,79,194,35-49,H,france,"{'Europeenne': 8, 'Francaise': 7, 'Saine': 3, 'Bar': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Marocaine': 2, 'Libanaise': 2, 'Pub': 1, 'Irlandaise': 1, 'Cafe': 1, 'Bar_a_vins': 1}",4.12,4.12,4.12,3.95,3.51,0.09,1.93
ldj121,2012,41,36,None,None,france,"{'Francaise': 14, 'Europeenne': 10, 'Italienne': 5, 'Steakhouse': 4, 'Bar': 4, 'Americaine': 4, 'Pub': 3, 'Pizza': 3, 'Bar_a_bieres': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1}",3.59,3.32,3.33,3.24,1.41,0.0,1.75
mrscarovin,2013,49,27,None,None,None,"{'Europeenne': 5, 'Francaise': 4, 'Asiatique': 3, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Chinoise': 2, 'Bar': 2, 'Thai': 1, 'Sushi': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Espagnole': 1, 'Campanie': 1, 'Cafe': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1}",4.23,2.6,2.6,2.49,1.56,0.09,1.93
didierg435,2015,457,217,35-49,H,france,"{'Francaise': 9, 'Europeenne': 7, 'Asiatique': 4, 'Suisse': 3, 'Chinoise': 3, 'Bar': 3, 'Thai': 2, 'Pub': 2, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Cafe': 2, 'Sushi': 1, 'Restauration_rapide': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1}",3.94,3.46,3.44,3.34,2.36,0.0,1.77
idd42,2015,52,36,None,None,france,"{'Francaise': 3, 'Europeenne': 3, 'Pub': 1, 'Bar_a_bieres': 1, 'Bar': 1}",4.15,4.31,4.5,4.46,1.54,0.0,1.38
Anthonytrn,2016,12,8,None,None,france,"{'Francaise': 4, 'Europeenne': 3, 'Sushi': 1, 'Japonaise': 1, 'Italienne': 1, 'Bar': 1, 'Asiatique': 1}",3.95,3.98,3.98,3.64,1.86,0.0,2.0
florences857,2015,339,108,50-64,F,france,"{'Europeenne': 21, 'Francaise': 20, 'Italienne': 11, 'Mediterraneenne': 8, 'Cafe': 6, 'Pizza': 5, 'Internationale': 4, 'Bar': 4, 'Saine': 2, 'Pub': 2, 'Libanaise': 2, 'Suisse': 1, 'Soupes': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Moderne': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1, 'Asiatique': 1, 'Americaine': 1}",3.85,3.76,3.54,3.29,2.42,0.04,2.01
davidrS6654ZV,2012,29,128,None,None,france,"{'Francaise': 6, 'Europeenne': 6, 'Suisse': 4, 'Pizza': 3, 'Italienne': 3, 'Saine': 2, 'Pub': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar': 1}",4.3,3.95,3.98,3.68,1.6,0.18,1.86
michelliebmann,2015,120,49,65+,H,portugal,"{'Europeenne': 12, 'Francaise': 10, 'Suisse': 6, 'Italienne': 6, 'Mediterraneenne': 5, 'Steakhouse': 2, 'Brasserie_gastronomique': 2, 'Bar': 2, 'Pub': 1, 'Pizza': 1, 'Japonaise': 1, 'Europe_centrale': 1, 'Cafe': 1, 'Asiatique': 1}",3.91,3.99,3.92,3.64,3.31,0.1,2.14
