username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
695guip,2015,105,29,35-49,H,france,"{'Francaise': 21, 'Europeenne': 16, 'Italienne': 12, 'Pizza': 6, 'Mediterraneenne': 6, 'Asiatique': 6, 'Japonaise': 5, 'Americaine': 5, 'Thai': 4, 'Restauration_rapide': 4, 'Fusion': 4, 'Bar': 4, 'Vietnamienne': 3, 'Saine': 3, 'Indienne': 3, 'Chinoise': 3, 'Toscane': 2, 'Sushi': 2, 'Suisse': 2, 'Pub': 2, 'Moderne': 2, 'Marocaine': 2, 'Lombarde': 2, 'Libanaise': 2, 'Italie_du_Nord': 2, 'Italie_du_Centre': 2, 'Bar_a_vins': 2, 'Tunisienne': 1, 'Pakistanaise': 1, 'Grillades': 1}",4.03,3.61,3.42,3.37,1.97,0.07,1.85
AgamonieG,2012,64,116,None,None,france,"{'Francaise': 13, 'Europeenne': 10, 'Pizza': 5, 'Italienne': 5, 'Bar': 5, 'Sicilienne': 2, 'Romana': 2, 'Mediterraneenne': 2, 'Latium': 2, 'Italie_du_Sud': 2, 'Italie_du_Centre': 2, 'Indienne': 2, 'Traiteur': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pakistanaise': 1, 'Brasserie_gastronomique': 1, 'Bar_a_vins': 1}",4.01,4.11,4.09,3.86,1.72,0.05,2.05
Hypocras74,2011,79,194,35-49,H,france,"{'Europeenne': 8, 'Francaise': 7, 'Saine': 3, 'Bar': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Marocaine': 2, 'Libanaise': 2, 'Pub': 1, 'Irlandaise': 1, 'Cafe': 1, 'Bar_a_vins': 1}",4.12,4.12,4.12,3.95,3.51,0.09,1.93
841laetitiat,2015,15,11,None,None,None,"{'Francaise': 3, 'Thai': 1, 'Saine': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",4.02,4.02,4.02,3.9,1.52,0.24,2.05
dimcurry,2020,20,17,None,None,france,"{'Francaise': 5, 'Europeenne': 3, 'Suisse': 1, 'Saine': 1, 'Bar': 1, 'Americaine': 1}",4.42,4.31,4.31,4.02,1.85,0.21,2.21
Lydia_7483,2019,45,33,None,None,france,"{'Europeenne': 6, 'Francaise': 4, 'Suisse': 2, 'Saine': 1, 'Bar': 1, 'Americaine': 1}",4.0,4.0,4.0,3.79,3.05,0.0,2.0
blandinew51,2017,24,16,None,None,None,"{'Francaise': 6, 'Europeenne': 3, 'Saine': 1, 'Pizza': 1, 'Italienne': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Americaine': 1}",3.97,4.18,4.11,4.06,0.56,0.0,1.67
ILOCEANE,2010,66,39,35-49,F,france,"{'Francaise': 13, 'Europeenne': 11, 'Italienne': 5, 'Suisse': 4, 'Pizza': 3, 'Internationale': 3, 'Restauration_rapide': 2, 'Americaine': 2, 'Saine': 1, 'Mediterraneenne': 1, 'Bar': 1}",3.79,3.83,3.77,3.72,2.94,0.06,2.0
La-et-tii,2018,14,7,None,None,france,"{'Francaise': 5, 'Asiatique': 3, 'Pizza': 2, 'Italienne': 2, 'Europeenne': 2, 'Vietnamienne': 1, 'Turque': 1, 'Thai': 1, 'Sushi': 1, 'Saine': 1, 'Nepalaise': 1, 'Japonaise': 1, 'Indienne': 1, 'Chinoise': 1}",4.3,2.5,2.5,2.5,1.12,0.0,1.61
A5629BScatherined,2016,18,14,None,None,suisse,"{'Saine': 3, 'Francaise': 2, 'Restauration_rapide': 1, 'Moderne': 1, 'Internationale': 1, 'Europeenne': 1, 'Cafe': 1, 'Asiatique': 1, 'Americaine': 1}",4.02,3.36,3.18,2.96,2.94,0.12,2.0
fjv1975,2015,91,43,None,None,france,"{'Francaise': 9, 'Europeenne': 5, 'Saine': 4, 'Suisse': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",3.88,3.66,3.56,3.35,2.43,0.32,2.04
runaway74,2010,33,60,25-34,H,france,"{'Francaise': 4, 'Tunisienne': 2, 'Saine': 2, 'Mediterraneenne': 2, 'Marocaine': 2, 'Restauration_rapide': 1, 'Pizza': 1, 'Italienne': 1, 'Indienne': 1, 'Europeenne': 1}",4.22,3.58,3.48,3.4,3.14,0.2,1.84
jeanfran_oism709,2017,36,17,None,None,None,"{'Francaise': 6, 'Europeenne': 5, 'Saine': 2}",4.12,3.32,3.32,3.0,2.56,0.16,2.16
882audreyf,2008,62,106,None,None,france,"{'Francaise': 5, 'Europeenne': 5, 'Saine': 2, 'Traiteur': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Moderne': 1, 'Italienne': 1, 'Internationale': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1, 'Bar_a_vins': 1, 'Bar': 1}",4.02,3.42,3.25,2.83,2.0,0.0,2.07
chantalfM5062FY,2021,7,7,None,None,None,"{'Francaise': 2, 'Europeenne': 2, 'Saine': 1}",4.19,4.5,4.5,4.0,1.5,0.0,2.62
florences857,2015,339,108,50-64,F,france,"{'Europeenne': 21, 'Francaise': 20, 'Italienne': 11, 'Mediterraneenne': 8, 'Cafe': 6, 'Pizza': 5, 'Internationale': 4, 'Bar': 4, 'Saine': 2, 'Pub': 2, 'Libanaise': 2, 'Suisse': 1, 'Soupes': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Moderne': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1, 'Asiatique': 1, 'Americaine': 1}",3.85,3.76,3.54,3.29,2.42,0.04,2.01
327jpp,2015,89,43,50-64,H,suisse,"{'Francaise': 19, 'Europeenne': 18, 'Suisse': 5, 'Italienne': 5, 'Saine': 3, 'Pizza': 2, 'Mediterraneenne': 2, 'Bar': 2, 'Tunisienne': 1, 'Steakhouse': 1, 'Pub': 1, 'Portugaise': 1, 'Marocaine': 1, 'Grillades': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",3.98,4.08,4.0,3.8,2.19,0.07,2.16
francoismartinaud64,2020,4,4,None,None,france,"{'Francaise': 3, 'Europeenne': 2, 'Saine': 1}",4.25,3.38,3.38,3.0,1.75,0.12,2.44
davidrS6654ZV,2012,29,128,None,None,france,"{'Francaise': 6, 'Europeenne': 6, 'Suisse': 4, 'Pizza': 3, 'Italienne': 3, 'Saine': 2, 'Pub': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar': 1}",4.3,3.95,3.98,3.68,1.6,0.18,1.86
Linca1,2012,56,48,None,None,france,"{'Francaise': 7, 'Europeenne': 7, 'Pizza': 3, 'Italienne': 3, 'Vietnamienne': 2, 'Asiatique': 2, 'polonaise': 1, 'cambodgienne': 1, 'Thai': 1, 'Suisse': 1, 'Saine': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Chinoise': 1, 'Campanie': 1}",3.9,3.74,3.67,3.48,2.6,0.09,2.07
tournedosrrossinni,2016,26,14,None,None,None,"{'Europeenne': 10, 'Francaise': 8, 'Mediterraneenne': 3, 'Suisse': 2, 'Saine': 2, 'Italienne': 2, 'Internationale': 2, 'Indienne': 2, 'Toscane': 1, 'Steakhouse': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Marocaine': 1, 'Libanaise': 1, 'Italie_du_Centre': 1, 'Grillades': 1, 'Europe_centrale': 1, 'Bar': 1}",4.05,4.03,4.03,3.73,2.82,0.0,2.07
YAUTELA,2015,144,67,None,None,france,"{'Francaise': 30, 'Saine': 12, 'Europeenne': 11, 'Italienne': 7, 'Pizza': 4, 'Pakistanaise': 2, 'Mediterraneenne': 2, 'Indienne': 2, 'Americaine': 2, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Grillades': 1, 'Cafe': 1, 'Africaine': 1}",4.24,4.13,4.09,3.79,2.39,0.46,2.25
45benjamind,2015,55,29,None,None,france,"{'Francaise': 10, 'Europeenne': 9, 'Asiatique': 4, 'Thai': 2, 'Suisse': 2, 'Italienne': 2, 'Vietnamienne': 1, 'Steakhouse': 1, 'Saine': 1, 'Pizza': 1, 'Napolitaine': 1, 'Moderne': 1, 'Italie_du_Sud': 1, 'Grillades': 1, 'Fusion': 1, 'Campanie': 1, 'Brasserie_gastronomique': 1, 'Bar_a_vins': 1, 'Americaine': 1}",4.12,4.1,4.24,3.85,1.52,0.0,2.0
alpheatralala,2014,21,8,None,None,suisse,"{'Europeenne': 8, 'Mediterraneenne': 7, 'Francaise': 7, 'Italienne': 5, 'Libanaise': 3, 'Cafe': 3, 'Pizza': 2, 'Suisse': 1, 'Saine': 1, 'Napolitaine': 1, 'Moderne': 1, 'Marocaine': 1, 'Italie_du_Sud': 1, 'Campanie': 1, 'Brasserie_gastronomique': 1}",3.81,3.88,3.82,3.64,2.65,0.0,2.03
